comment,chunks
Pour la prochaine je pourrais prendre plus mon temps ,"['Pour la prochaine je pourrais prendre plus mon temps ', '']"
Globalement j’ai eu plus de réponse correctes (20) malgré 17 réponses incorrects et 3 ignorances.  Je pense que je suis prudente et que je ne suis pas non plus sur à chaque fois de moi.  Je pourrais devenir davantage réaliste en prenant plus confiance en moi. ,"['Globalement j’ai eu plus de réponse correctes (20) malgré 17 réponses incorrects et 3 ignorances.  ', 'Je pense que je suis prudente et que je ne suis pas non plus sur à chaque fois de moi. ', ' Je pourrais devenir davantage réaliste en prenant plus confiance en moi. ', '']"
"J’ai beaucoup de bonnes réponses  et je suis presque toujours sûre à 100% de mes réponses, ce qui m’amène à faire des erreurs dangereuses. Mon nombre d’erreurs dangereuses est bien au-dessus de la courbe en J . Sois-je suis très peu sûre, soit je suis totalement sûre, ce qui donne un graphique assez différent des courbes en J . La moitié de mes erreurs sont des erreurs d’inattention qui pourront être corrigées au prochain test si je suis plus attentive. ","['J’ai beaucoup de bonnes réponses ', ' et je suis presque toujours sûre à 100% de mes réponses, ce qui m’amène à faire des erreurs dangereuses. Mon nombre d’erreurs dangereuses est bien au-dessus de la courbe en J ', '. Sois-je suis très peu sûre, soit je suis totalement sûre, ce qui donne un graphique assez différent des courbes en J ', '. La moitié de mes erreurs sont des erreurs d’inattention qui pourront être corrigées au prochain test si je suis plus attentive. ', '']"
"Beaucoup d’incertitudes et d’erreurs  mais je ne suis pas déçu du résultat , et quelques questions m’ont surpris . Mes courbes relèvent beaucoup de bonnes réponses mais pas à 100%, et des erreurs assez nombreuses . Pour le prochain test, il faut que je revois un coup mon cours de 1ère car ça date maintenant ","['Beaucoup d’incertitudes et d’erreurs ', ' mais je ne suis pas déçu du résultat ', ', et quelques questions m’ont surpris ', '. Mes courbes relèvent beaucoup de bonnes réponses mais pas à 100%, et des erreurs assez nombreuses ', '. Pour le prochain test, il faut que je revois un coup mon cours de 1ère car ça date maintenant ', '']"
"globalement j’ai eu 29 réponses correctes, 11 incorrectes et 0 ignorance . Pour espérer devenir davantage réaliste lors du prochain, je compte prendre plus de temps pour répondre afin d’éviter les erreurs d’inattention ","['globalement j’ai eu 29 réponses correctes, 11 incorrectes et 0 ignorance ', '. Pour espérer devenir davantage réaliste lors du prochain, je compte prendre plus de temps pour répondre afin d’éviter les erreurs d’inattention ', '']"
Mon résultat est assez satisfaisant . Je vais devoir combler mes lacunes avec la fin du test . Sur l’ensemble j’étais assez prudent  et pour avoir un meilleur score je vais devoir prendre plus mon temps pour éviter les erreurs d’inattention et de lecture. ,"['Mon résultat est assez satisfaisant ', '. Je vais devoir combler mes lacunes avec la fin du test ', '. Sur l’ensemble j’étais assez prudent ', ' et pour avoir un meilleur score je vais devoir prendre plus mon temps pour éviter les erreurs d’inattention et de lecture. ', '']"
"Globalement, mon score est correct (équivaut à 16/20)  mais je reste souvent sur de mes erreurs . J’ai trop d’erreurs dangereuses . Mon score révèle donc de l’imprudence . Pour améliorer mes résultats lors du prochain test, je devrais être davantage attentif sur les questions subtiles et faire attention aux pièges ou à ne pas lire trop vite la question .","['Globalement, mon score est correct (équivaut à 16/20) ', ' mais je reste souvent sur de mes erreurs ', '. J’ai trop d’erreurs dangereuses ', '. Mon score révèle donc de l’imprudence ', '. Pour améliorer mes résultats lors du prochain test, je devrais être davantage attentif sur les questions subtiles et faire attention aux pièges ou à ne pas lire trop vite la question ', '.']"
"Globalement, il y a beaucoup de réponses correctes (31), peu de réponses incorrectes (9) et aucune ignorance . Ce score global peut s’attribuer à des connaissances suffisamment solides que je peux avoir en physique-chimie pour me débrouiller assez bien.  Par rapport aux écarts, ma courbe des réponses correctes forme bien un J mais pas celle des réponses incorrectes.  Cela signifie donc que je serai plutôt trop imprudent (la plupart de mes fautes étant dans les alentours de 100% à 80%).  Bien sur, pour être davantage réaliste lors du prochain test, il faudrait que je connaisse mieux mes leçons et que je prenne plus de temps pour bien répondre aux questions pour ne rien bâcler ou oublier .","['Globalement, il y a beaucoup de réponses correctes (31), peu de réponses incorrectes (9) et aucune ignorance ', '. Ce score global peut s’attribuer à des connaissances suffisamment solides que je peux avoir en physique-chimie pour me débrouiller assez bien. ', ' Par rapport aux écarts, ma courbe des réponses correctes forme bien un J mais pas celle des réponses incorrectes.  ', 'Cela signifie donc que je serai plutôt trop imprudent (la plupart de mes fautes étant dans les alentours de 100% à 80%). ', ' Bien sur, pour être davantage réaliste lors du prochain test, il faudrait que je connaisse mieux mes leçons et que je prenne plus de temps pour bien répondre aux questions pour ne rien bâcler ou oublier ', '.']"
"Beaucoup de réponses correctes  avec pas mal de prudence de ma part (beaucoup de 80-90% de certitude) . Pour être plus réaliste, il faudrait que je sois plus sûr de moi en mettant davantage des certitudes à 100%.  Les quelques erreurs étaient dues manques de connaissances et des erreurs de calcul.  Une ignorance déclarée (connaissances suffisantes).","['Beaucoup de réponses correctes  ', 'avec pas mal de prudence de ma part (beaucoup de 80-90% de certitude) ', '. Pour être plus réaliste, il faudrait que je sois plus sûr de moi en mettant davantage des certitudes à 100%. ', ' Les quelques erreurs étaient dues manques de connaissances et des erreurs de calcul. ', ' Une ignorance déclarée (connaissances suffisantes).']"
Globalement beaucoup de réponses correctes  Erreurs seulement sur des oublis de cours  Revoir les bases de certaines matières ,"['Globalement beaucoup de réponses correctes ', ' Erreurs seulement sur des oublis de cours ', ' Revoir les bases de certaines matières ', '']"
J’ai beaucoup de réponses correctes (32) peu d’incorrectes (3 ED et 3 EP) et 2 ignorances.  J’ai eu beaucoup de savoirs fragiles (8)  et je suis trop prudent  Être sur et plus rapide (38min) pour la prochaine fois ,"['J’ai beaucoup de réponses correctes (32) peu d’incorrectes (3 ED et 3 EP) et 2 ignorances. ', ' J’ai eu beaucoup de savoirs fragiles (8) ', ' et je suis trop prudent ', ' Être sur et plus rapide (38min) pour la prochaine fois ', '']"
"Beaucoup de réponses correctes, quelques réponses incorrectes  et quelques réponses faibles.  être plus prudent par rapport au test  et être plus concentré ","['Beaucoup de réponses correctes, quelques réponses incorrectes ', ' et quelques réponses faibles. ', ' être plus prudent par rapport au test ', ' et être plus concentré ', '']"
"Mon résultats 14/40 , 23 réponses correctes et une réponse correcte dans ignorance , en tout j’ai fait 4 ignorances.  Ce résultat global est du à certaines hésitations. D’après mes résultats et la courbe en J, mes résultats relève de l’imprudence . Pour devenir davantage réaliste lors du prochain test, je passerai plus de temps sur chaque question  tout en essayant d’avoir le maximum de savoir certain ou de savoir fragile si je n’ai aucune connaissance précise de la question posée par exemple ","['Mon résultats 14/40 , 23 réponses correctes et une réponse correcte dans ignorance , en tout j’ai fait 4 ignorances.  ', 'Ce résultat global est du à certaines hésitations. D’après mes résultats et la courbe en J, mes résultats relève de l’imprudence ', '. Pour devenir davantage réaliste lors du prochain test, je passerai plus de temps sur chaque question ', ' tout en essayant d’avoir le maximum de savoir certain ou de savoir fragile si je n’ai aucune connaissance précise de la question posée par exemple ', '']"
J’ai globalement beaucoup d’incertitudes.  J’ai plus de réponses correctes mais mon savoir est assez fragile.  J’ai fait preuve de prudence. ,"['J’ai globalement beaucoup d’incertitudes.  ', 'J’ai plus de réponses correctes mais mon savoir est assez fragile. ', ' J’ai fait preuve de prudence. ', '']"
4 réponses incorrectes avec 3 erreurs dangereuses et 1 erreur présumée. 2 réponses d’ignorances qui sont déclarées. et 22 réponses correctes avec 4 savoir fragile et 18 savoir certains.  Test complet et divertissant,"['4 réponses incorrectes avec 3 erreurs dangereuses et 1 erreur présumée. 2 réponses d’ignorances qui sont déclarées. et 22 réponses correctes avec 4 savoir fragile et 18 savoir certains. ', ' Test complet et divertissant']"
"Globalement, beaucoup de réponses correctes (18/28), 3 ignorances et 7 erreurs . La formulation des questions peut être piégeuse . J’ai fait tout de même 5 erreurs dangereuses , ce qui est relativement élevé , sûrement dues à des erreurs de connaissances . Pour m’améliorer, je pense mettre je suis presque sûre au lieu de je suis sûr pour des réponses où je suis à moitié confiante. ","['Globalement, beaucoup de réponses correctes (18/28), 3 ignorances et 7 erreurs ', '. La formulation des questions peut être piégeuse ', '. J’ai fait tout de même 5 erreurs dangereuses ', ', ce qui est relativement élevé ', ', sûrement dues à des erreurs de connaissances ', '. Pour m’améliorer, je pense mettre je suis presque sûre au lieu de je suis sûr pour des réponses où je suis à moitié confiante. ', '']"
Très bien mais certaine questions sont compliquées à comprendre !  mais le questions sont intéressante et tout en rapport à la leçon donc le problème majeur était la compréhension des questions.,"['Très bien mais certaine questions sont compliquées à comprendre ! ', ' mais le questions sont intéressante et tout en rapport à la leçon donc le problème majeur était la compréhension des questions.']"
"Il faudrait que j’aie plus de réponses en erreur présumée et savoir fragile pour éviter les erreurs dangereuses.  -> Mais les risques pris en savoir certain ont permis une augmentation des points.  Je n’ai pas trop d’écart avec les courbes j pour (les erreurs dangereuses - barré) et réponses de savoir certain mais bcp de différence avec le reste, j’ai moins de savoirs fragiles et d’erreurs présumées. ","['Il faudrait que j’aie plus de réponses en erreur présumée et savoir fragile pour éviter les erreurs dangereuses. ', ' -> Mais les risques pris en savoir certain ont permis une augmentation des points. ', ' Je n’ai pas trop d’écart avec les courbes j pour (les erreurs dangereuses - barré) et réponses de savoir certain mais bcp de différence avec le reste, j’ai moins de savoirs fragiles et d’erreurs présumées. ', '']"
J’ai eu 23/28 avec 23 savoir certain.  Les erreurs que j’ai faites étaient sur ce que je ne savais vraiment pas  mais qu’au bout de plusieurs réflexion j’arrive aux mêmes résultats. Je suis assez satisfait des résultats par rapport à ma mémoire à long terme qui n’est pas géniale. ,"['J’ai eu 23/28 avec 23 savoir certain. ', ' Les erreurs que j’ai faites étaient sur ce que je ne savais vraiment pas  ', 'mais qu’au bout de plusieurs réflexion j’arrive aux mêmes résultats. Je suis assez satisfait des résultats par rapport à ma mémoire à long terme qui n’est pas géniale. ', '']"
Globalement j’ai presque le double de réponse correct par rapport au réponses incorrectes et seulement 2 ignorances.  La courbe de réponses correctes suit presque la courbe en J avec quand même beaucoup de savoir fragile malgré qu’il y en a beaucoup moins que de savoir certain. Cependant la courbe de réponse incorrectes ne suit pas du tout la courbe en pointillés puisqu’il y a beaucoup d’erreurs dangereuses 6 pour 9 réponses incorrect.  Lors du prochain test il faudrait diminuer le nombre d’erreurs dangereuses et me rapprocher de la courbe en J et aussi diminuer le savoir fragile afin d’être plus certaine. ,"['Globalement j’ai presque le double de réponse correct par rapport au réponses incorrectes et seulement 2 ignorances.  ', 'La courbe de réponses correctes suit presque la courbe en J avec quand même beaucoup de savoir fragile malgré qu’il y en a beaucoup moins que de savoir certain. Cependant la courbe de réponse incorrectes ne suit pas du tout la courbe en pointillés puisqu’il y a beaucoup d’erreurs dangereuses 6 pour 9 réponses incorrect. ', ' Lors du prochain test il faudrait diminuer le nombre d’erreurs dangereuses et me rapprocher de la courbe en J et aussi diminuer le savoir fragile afin d’être plus certaine. ', '']"
Certaines questions était néanmoins tordu  mais je suis heureux de posséder un esprit très intuitif. ,"['Certaines questions était néanmoins tordu  ', 'mais je suis heureux de posséder un esprit très intuitif. ', '']"
18 réponses correctes 9 réponses fausses dangereuses 1 réponse ignorante-Imprudence - En apprenant d’avantage. ,"['18 réponses correctes 9 réponses fausses dangereuses 1 réponse ignorante-Imprudence ', '- En apprenant d’avantage. ', '']"
J’ai quasiment le même nombre de réponse juste (13) et de fausses (9)  dû au fait que je confonds des notions de cours  ou mal lu le document . Pour le savoir certain je suis trop prudente car je ne veux pas être déçu face à une réponse fausse.  Les erreurs présumées j’ai beaucoup de 70% parce que j’ai réfléchi mais pas au max donc j’ai pu faire des erreurs*.  Et les ignorances déclarées c’est parce que je suis fatigué et pas motivé pour beaucoup réfléchir donc je n’avais pas envie de me lancer dans de grandes réflexion.  Je pense que je m’appliquerais plus et les réponses où je pense avoir faux je mettrais 60% au lieu de 70% de même que pour le savoir j’essayerais d’être plus confiante sur mes connaissances.  * et je faisais par intuition. ,"['J’ai quasiment le même nombre de réponse juste (13) et de fausses (9) ', ' dû au fait que je confonds des notions de cours ', ' ou mal lu le document ', '. Pour le savoir certain je suis trop prudente car je ne veux pas être déçu face à une réponse fausse. ', ' Les erreurs présumées j’ai beaucoup de 70% parce que j’ai réfléchi mais pas au max donc j’ai pu faire des erreurs*. ', ' Et les ignorances déclarées c’est parce que je suis fatigué et pas motivé pour beaucoup réfléchir donc je n’avais pas envie de me lancer dans de grandes réflexion. ', ' Je pense que je m’appliquerais plus et les réponses où je pense avoir faux je mettrais 60% au lieu de 70% de même que pour le savoir j’essayerais d’être plus confiante sur mes connaissances.  ', '* et je faisais par intuition. ', '']"
(16) 100% de savoir certain mais aussi 100% d’erreur dangereuse  (7) révèle de l’imprudence  Il faudrait que je sois moins sûr de vrai et que soit moins tranchée sur mes connaissances. ,"['(16) 100% de savoir certain mais aussi 100% d’erreur dangereuse ', ' (7) révèle de l’imprudence ', ' Il faudrait que je sois moins sûr de vrai et que soit moins tranchée sur mes connaissances. ', '']"
"Sur 28 questions, il y a 24 réponses correctes, 0 ignorance déclarée et 4 réponses incorrectes.  Les 4 mauvaises réponses sont sur les formules (3) et une sur le ph.  La courbe montre un peu trop de prudence. ","['Sur 28 questions, il y a 24 réponses correctes, 0 ignorance déclarée et 4 réponses incorrectes.  ', 'Les 4 mauvaises réponses sont sur les formules (3) et une sur le ph. ', ' La courbe montre un peu trop de prudence. ', '']"
Réponses incorrectes : 4ignorances : 7réponses correctes  : 17les courbes révèlent de la prudence. ,"['Réponses incorrectes : 4ignorances : 7réponses correctes ', ' : 17les courbes révèlent de la prudence. ', '']"
"Les erreurs dangereuses en était globalement peut nombreuse mêmes si ce n’est pas encore ça, mais je trouve que j’ai un savoir un peu fragile même si globalement c’est bien.  Je vais préciser mes connaissances. ","['Les erreurs dangereuses en était globalement peut nombreuse mêmes si ce n’est pas encore ça, mais je trouve que j’ai un savoir un peu fragile même si globalement c’est bien. ', ' Je vais préciser mes connaissances. ', '']"
"​- Globalement il y a beaucoup de réponses correctes, score globale = 22/28 -pour les réponses correctes les résultats correspondent à la courbe en J mais pour celles incorrectes il y a trop d’erreurs dangereuses (4) . Cela révèle un peu trop d’imprudence -Etre plus attentive aux termes de la question et répondre moins vite ","['\u200b- Globalement il y a beaucoup de réponses correctes, score globale = 22/28 ', '-pour les réponses correctes les résultats correspondent à la courbe en J mais pour celles incorrectes il y a trop d’erreurs dangereuses (4) ', '. Cela révèle un peu trop d’imprudence ', '-Etre plus attentive aux termes de la question et répondre moins vite ', '']"
"Globalement, sur 28 questions, j’ai obtenu 23 réponses correctes, 3 incorrectes et 2 où je ne savais pas.  Ce score global est sûrement du au temps passé sur le test (40 min).  J’observe un écart quant à la certitude de mes réponses juste . En effet, je ne suis pas assez sûre de moi.  Je pourrais être plus réaliste en ayant plus sur de moi lorsque je réponds. ","['Globalement, sur 28 questions, j’ai obtenu 23 réponses correctes, 3 incorrectes et 2 où je ne savais pas. ', ' Ce score global est sûrement du au temps passé sur le test (40 min). ', ' J’observe un écart quant à la certitude de mes réponses juste ', '. En effet, je ne suis pas assez sûre de moi. ', ' Je pourrais être plus réaliste en ayant plus sur de moi lorsque je réponds. ', '']"
"Erreur dangereuse : 6 Savoir fragile 5 erreur présumée : 2 Savoir certain 15 Il faudrait que je sois meilleur pour distinguer mes erreurs à l’avance.  J’ai souvent du mal avec les QCM, je suis influencé par les questions. ","['Erreur dangereuse : 6 Savoir fragile 5 erreur présumée : 2 Savoir certain 15 ', 'Il faudrait que je sois meilleur pour distinguer mes erreurs à l’avance. ', ' J’ai souvent du mal avec les QCM, je suis influencé par les questions. ', '']"
"​-> Le score total est de 23/28,  avec beaucoup de erreurs présumées-> Mes courbes ne correspondent pas trop au courbe en J , j’ai été trop prudente globalement . -> Pour devenir davantage réaliste, il faudrait que je passe plus de temps pour répondre à la question. ","['\u200b-> Le score total est de 23/28, ', ' avec beaucoup de erreurs présumées-> Mes courbes ne correspondent pas trop au courbe en J ', ', j’ai été trop prudente globalement ', '. -> Pour devenir davantage réaliste, il faudrait que je passe plus de temps pour répondre à la question. ', '']"
"Test correct dans l’ensemble  avec 1 erreur dangereuse, 3 erreurs présumées, 3 ignorances déclarées, 3 savoir fragile et 18 savoir certains . Test complet et intéressant ","['Test correct dans l’ensemble ', ' avec 1 erreur dangereuse, 3 erreurs présumées, 3 ignorances déclarées, 3 savoir fragile et 18 savoir certains ', '. Test complet et intéressant ', '']"
Mes notes sont assez bonnes  malgré des connaissances plutôt approximatives. ,"['Mes notes sont assez bonnes  ', 'malgré des connaissances plutôt approximatives. ', '']"
Très bon test . Il faudrait peut-être écrire des conclusions en fonction des résultats obtenus  et réalisé des classes de niveau.,"['Très bon test ', '. Il faudrait peut-être écrire des conclusions en fonction des résultats obtenus ', ' et réalisé des classes de niveau.']"
Mon test est plutôt réussi  malgré des connaissances approximatives . Il faudrait plus de connaissances pour mieux le réussir. ,"['Mon test est plutôt réussi ', ' malgré des connaissances approximatives ', '. Il faudrait plus de connaissances pour mieux le réussir. ', '']"
"​-> beaucoup de réponses correctes (21), pas d’ignorance, 7 réponses fausses (erreurs dangereuses)  -> j’ai parfois mal lu les questions, lu trop vite et du coup, j’ai loupé des données ou mal vu certaines données.  -> j’ai pas mal d’erreurs dangereuses -> imprudence , sinon le reste correspond pas mal. -> plus réfléchir avant de répondre, aller moins vite, bien vérifier mes réponses. ","['\u200b-> beaucoup de réponses correctes (21), pas d’ignorance, 7 réponses fausses (erreurs dangereuses) ', ' -> j’ai parfois mal lu les questions, lu trop vite et du coup, j’ai loupé des données ou mal vu certaines données. ', ' -> j’ai pas mal d’erreurs dangereuses -> imprudence ', ', sinon le reste correspond pas mal. -> plus réfléchir avant de répondre, aller moins vite, bien vérifier mes réponses. ', '']"
"​-> Beaucoup de réponses correctes (23/28)  dont 19 en savoir certain, 1 en savoir fragile, 3 en ignorance déclarée. -> 5 erreurs dont 4 en erreur dangereuse et 1 en erreur présumée . -> certaines erreurs dû à de l’inattention ou à la vitesse de lecture (trop vite)  -> Pour mes réponses correctes mes résultats correspondent à la courbe en J. Tant dit que pour mes réponses incorrectes mes résultats sont à l’inverse de la courbe en J. -> Révèle que j’ai manqué de prudence sur certains points -> Prendre mon temps  et pas mettre 100% sûr alors qu’un doute est là ","['\u200b-> Beaucoup de réponses correctes (23/28) ', ' dont 19 en savoir certain, 1 en savoir fragile, 3 en ignorance déclarée. -> 5 erreurs dont 4 en erreur dangereuse et 1 en erreur présumée ', '. -> certaines erreurs dû à de l’inattention ou à la vitesse de lecture (trop vite) ', ' -> Pour mes réponses correctes mes résultats correspondent à la courbe en J. Tant dit que pour mes réponses incorrectes mes résultats sont à l’inverse de la courbe en J. -> Révèle que j’ai manqué de prudence sur certains points ', '-> Prendre mon temps  ', 'et pas mettre 100% sûr alors qu’un doute est là ', '']"
"Globalement, il y a eu beaucoup de réponses correctes et peu de réponses incorrectes, il n’y a pas eu d’ignorance . Ce score global montre des connaissances mais quelques partialités en général.  Pour les réponses incorrectes, il y a plus d’erreur à 90% / 80% de certitude et cela ne suit pas la courbe en J. En revanche, pour les réponses correctes, plus la courbe augmente, plus le savoir certain augmente aussi malgré 60% de certitude au début. Mais relativement de faibles écarts entre la courbe en J et résultats . Cela révèle donc de certaines imprudences au niveau du jugement.  Afin de devenir d’avantage réaliste, je devrais mettre une plus faible certitude sur les hésitations  et je devrais me concentrer plus sur les questions techniques et complexes. ","['Globalement, il y a eu beaucoup de réponses correctes et peu de réponses incorrectes, il n’y a pas eu d’ignorance ', '. Ce score global montre des connaissances mais quelques partialités en général. ', ' Pour les réponses incorrectes, il y a plus d’erreur à 90% / 80% de certitude et cela ne suit pas la courbe en J. En revanche, pour les réponses correctes, plus la courbe augmente, plus le savoir certain augmente aussi malgré 60% de certitude au début. Mais relativement de faibles écarts entre la courbe en J et résultats ', '. Cela révèle donc de certaines imprudences au niveau du jugement.  ', 'Afin de devenir d’avantage réaliste, je devrais mettre une plus faible certitude sur les hésitations  ', 'et je devrais me concentrer plus sur les questions techniques et complexes. ', '']"
Je n’étais pas très sûr de moi  et j’ai fait beaucoup d’erreurs ,"['Je n’étais pas très sûr de moi  ', 'et j’ai fait beaucoup d’erreurs ', '']"
"Mes connaissances semblent suffisantes  : j’ai beaucoup plus de réponses correctes qu’incorrectes (23/28).  Cependant, mon jugement est moyennement réaliste car mes réponses incorrectes ne suivent pas la courbe en J . Je pense que je suis trop imprudent : il n’y a aucune ignorance mais beaucoup de réponses certaines entraînant des erreurs dangereuses et peu de savoirs fragiles.  Je devrais mieux apprendre mes définitions et formules, mieux maîtriser l’analyse dimensionnelle  et être plus prudent. ","['Mes connaissances semblent suffisantes ', ' : j’ai beaucoup plus de réponses correctes qu’incorrectes (23/28).  ', 'Cependant, mon jugement est moyennement réaliste car mes réponses incorrectes ne suivent pas la courbe en J ', '. Je pense que je suis trop imprudent : il n’y a aucune ignorance mais beaucoup de réponses certaines entraînant des erreurs dangereuses et peu de savoirs fragiles. ', ' Je devrais mieux apprendre mes définitions et formules, mieux maîtriser l’analyse dimensionnelle ', ' et être plus prudent. ', '']"
"Je vois qu’il y a qu’une ignorance ce qui est pas mal, après il y a 7 erreurs dangereuses  … Mais il y avait quelques questions subtiles qui induisaient en erreur si on ne possède pas un bon instinct . Je suis quand même plutôt content de mon résultat , je pourrais mieux réussir la prochaine fois avec un brouillon et un peu plus de motivation .","['Je vois qu’il y a qu’une ignorance ce qui est pas mal, après il y a 7 erreurs dangereuses ', ' … Mais il y avait quelques questions subtiles qui induisaient en erreur si on ne possède pas un bon instinct ', '. Je suis quand même plutôt content de mon résultat ', ', je pourrais mieux réussir la prochaine fois avec un brouillon et un peu plus de motivation ', '.']"
