id,document,Tags,content
3955557,Commentaires_globaux_Test_1et2,BDS.Emotions,triste de ne pas avoir su répondre à 3 questions
3955558,Commentaires_globaux_Test_1et2,CTRL,J’aurai pu faire mieux en prenant plus mon temps
,,,
3955567,Commentaires_globaux_Test_1et2,MonCal.Facts.RF,Globalement il y a 26 réponses justes 12 réponses incorrectes et 2 ignorances
3955570,Commentaires_globaux_Test_1et2,DomKldg,Ce score provient d’oublis de connaissance de manques de connaissance.
,,,
3955583,Commentaires_globaux_Test_1et2,CTRL,Pour la prochaine je pourrais prendre plus mon temps
,,,
3955585,Commentaires_globaux_Test_1et2,MonCal.Facts.RF,Globalement j’ai eu plus de réponse correctes (20) malgré 17 réponses incorrects et 3 ignorances.
3955587,Commentaires_globaux_Test_1et2,MonCal.Interpret,Je pense que je suis prudente et que je ne suis pas non plus sur à chaque fois de moi.
3955588,Commentaires_globaux_Test_1et2,MotOrient.SelfEff,Je pourrais devenir davantage réaliste en prenant plus confiance en moi.
,,,
3955593,Commentaires_globaux_Test_1et2,MonCal.Facts.RF,J’ai beaucoup de bonnes réponses
3955596,Commentaires_globaux_Test_1et2,MonCal.Facts.DC,Mon nombre d’erreurs dangereuses est bien au-dessus de la courbe en J
3955597,Commentaires_globaux_Test_1et2,MonCal.Interpret,"Sois-je suis très peu sûre, soit je suis totalement sûre, ce qui donne un graphique assez différent des courbes en J"
3955599,Commentaires_globaux_Test_1et2,CTRL,La moitié de mes erreurs sont des erreurs d’inattention qui pourront être corrigées au prochain test si je suis plus attentive.
,,,
3955603,Commentaires_globaux_Test_1et2,MonCal.Facts.DC,Beaucoup d’incertitudes et d’erreurs
3955604,Commentaires_globaux_Test_1et2,BDS.Emotions,je ne suis pas déçu du résultat
3955606,Commentaires_globaux_Test_1et2,MonCal.Facts.RF,"Mes courbes relèvent beaucoup de bonnes réponses mais pas à 100%, et des erreurs assez nombreuses"
3955607,Commentaires_globaux_Test_1et2,CTRL,"Pour le prochain test, il faut que je revois un coup mon cours de 1ère car ça date maintenant"
,,,
3955609,Commentaires_globaux_Test_1et2,MonCal.Facts.RF,"globalement j’ai eu 29 réponses correctes, 11 incorrectes et 0 ignorance"
3955610,Commentaires_globaux_Test_1et2,CTRL,"Pour espérer devenir davantage réaliste lors du prochain, je compte prendre plus de temps pour répondre afin d’éviter les erreurs d’inattention"
,,,
3955612,Commentaires_globaux_Test_1et2,BDS.Emotions,Mon résultat est assez satisfaisant
3955613,Commentaires_globaux_Test_1et2,DomKldg,Je vais devoir combler mes lacunes avec la fin du test
3955614,Commentaires_globaux_Test_1et2,MonCal.Interpret,Sur l’ensemble j’étais assez prudent
3955615,Commentaires_globaux_Test_1et2,CTRL,pour avoir un meilleur score je vais devoir prendre plus mon temps pour éviter les erreurs d’inattention et de lecture.
,,,
3955617,Commentaires_globaux_Test_1et2,MonCal.Facts.RF,"Globalement, mon score est correct (équivaut à 16/20)"
3955618,Commentaires_globaux_Test_1et2,MonCal.Facts.DC,je reste souvent sur de mes erreurs
3955620,Commentaires_globaux_Test_1et2,MonCal.Interpret,J’ai trop d’erreurs dangereuses
3955621,Commentaires_globaux_Test_1et2,MonCal.Interpret,Mon score révèle donc de l’imprudence
3955623,Commentaires_globaux_Test_1et2,CTRL,"Pour améliorer mes résultats lors du prochain test, je devrais être davantage attentif sur les questions subtiles et faire attention aux pièges ou à ne pas lire trop vite la question"
,,,
3955627,Commentaires_globaux_Test_1et2,MonCal.Facts.RF,"Globalement, il y a beaucoup de réponses correctes (31), peu de réponses incorrectes (9) et aucune ignorance"
3955630,Commentaires_globaux_Test_1et2,DomKldg,Ce score global peut s’attribuer à des connaissances suffisamment solides que je peux avoir en physique-chimie pour me débrouiller assez bien.
3955630,Commentaires_globaux_Test_1et2,MotOrient.SelfEff,Ce score global peut s’attribuer à des connaissances suffisamment solides que je peux avoir en physique-chimie pour me débrouiller assez bien.
3955632,Commentaires_globaux_Test_1et2,MonCal.Facts.DC,"Par rapport aux écarts, ma courbe des réponses correctes forme bien un J mais pas celle des réponses incorrectes."
3955636,Commentaires_globaux_Test_1et2,MonCal.Interpret,Cela signifie donc que je serai plutôt trop imprudent (la plupart de mes fautes étant dans les alentours de 100% à 80%).
3955642,Commentaires_globaux_Test_1et2,CTRL,que je prenne plus de temps pour bien répondre aux questions pour ne rien bâcler ou oublier
,,,
3957280,Commentaires_globaux_Test_1et2,MonCal.Facts.RF,Beaucoup de réponses correctes
3957283,Commentaires_globaux_Test_1et2,MonCal.Interpret,pas mal de prudence de ma part (beaucoup de 80-90% de certitude)
3957284,Commentaires_globaux_Test_1et2,CTRL,"Pour être plus réaliste, il faudrait que je sois plus sûr de moi en mettant davantage des certitudes à 100%."
3957288,Commentaires_globaux_Test_1et2,DomKldg,Les quelques erreurs étaient dues manques de connaissances et des erreurs de calcul.
,,,
3957293,Commentaires_globaux_Test_1et2,MonCal.Facts.RF,Globalement beaucoup de réponses correctes
3957298,Commentaires_globaux_Test_1et2,DomKldg,Erreurs seulement sur des oublis de cours
3957299,Commentaires_globaux_Test_1et2,DomKldg,Revoir les bases de certaines matières
,,,
3957301,Commentaires_globaux_Test_1et2,MonCal.Facts.RF,J’ai beaucoup de réponses correctes (32) peu d’incorrectes (3 ED et 3 EP) et 2 ignorances.
3957302,Commentaires_globaux_Test_1et2,MonCal.Facts.DC,J’ai eu beaucoup de savoirs fragiles (8)
3957303,Commentaires_globaux_Test_1et2,MonCal.Interpret,je suis trop prudent
3957306,Commentaires_globaux_Test_1et2,CTRL,Être sur et plus rapide (38min) pour la prochaine fois
,,,
3957307,Commentaires_globaux_Test_1et2,MonCal.Facts.RF,"Beaucoup de réponses correctes, quelques réponses incorrectes"
3957310,Commentaires_globaux_Test_1et2,MonCal.Facts.DC,quelques réponses faibles.
3957314,Commentaires_globaux_Test_1et2,MonCal.Interpret,être plus prudent par rapport au test
3957316,Commentaires_globaux_Test_1et2,CTRL,être plus concentré
,,,
3957317,Commentaires_globaux_Test_1et2,MonCal.Facts.RF,"Mon résultats 14/40 , 23 réponses correctes et une réponse correcte dans ignorance , en tout j’ai fait 4 ignorances."
4010433,Commentaires_globaux_Test_1et2,MonCal.Interpret,"Ce résultat global est du à certaines hésitations. D’après mes résultats et la courbe en J, mes résultats relève de l’imprudence"
3957330,Commentaires_globaux_Test_1et2,CTRL,"Pour devenir davantage réaliste lors du prochain test, je passerai plus de temps sur chaque question tout en essayant d’avoir le maximum de savoir certain ou de savoir fragile si je n’ai aucune connaissance précise de la question posée par exemple"
,,,
3957333,Commentaires_globaux_Test_1et2,MonCal.Interpret,J’ai globalement beaucoup d’incertitudes.
3957336,Commentaires_globaux_Test_1et2,MonCal.Facts.DC,J’ai plus de réponses correctes mais mon savoir est assez fragile.
3957337,Commentaires_globaux_Test_1et2,MonCal.Interpret,J’ai fait preuve de prudence.
,,,
3957343,Commentaires_globaux_Test_1et2,MonCal.Facts.DC,4 réponses incorrectes avec 3 erreurs dangereuses et 1 erreur présumée. 2 réponses d’ignorances qui sont déclarées. et 22 réponses correctes avec 4 savoir fragile et 18 savoir certains.
,,,
3957347,Commentaires_globaux_Test_1et2,MonCal.Facts.RF,"Globalement, beaucoup de réponses correctes (18/28), 3 ignorances et 7 erreurs"
3957351,Commentaires_globaux_Test_1et2,MonCal.Facts.DC,J’ai fait tout de même 5 erreurs dangereuses
3957353,Commentaires_globaux_Test_1et2,DomKldg,sûrement dues à des erreurs de connaissances
3957354,Commentaires_globaux_Test_1et2,MonCal.Interpret,ce qui est relativement élevé
3957357,Commentaires_globaux_Test_1et2,CTRL,"Pour m’améliorer, je pense mettre je suis presque sûre au lieu de je suis sûr pour des réponses où je suis à moitié confiante."
,,,
3957359,Commentaires_globaux_Test_1et2,StratKldg,Il faudrait que j’aie plus de réponses en erreur présumée et savoir fragile pour éviter les erreurs dangereuses.
3957361,Commentaires_globaux_Test_1et2,StratKldg,Mais les risques pris en savoir certain ont permis une augmentation des points.
3957362,Commentaires_globaux_Test_1et2,MonCal.Facts.DC,"Je n’ai pas trop d’écart avec les courbes j pour (les erreurs dangereuses - barré) et réponses de savoir certain mais bcp de différence avec le reste, j’ai moins de savoirs fragiles et d’erreurs présumées."
,,,
3957364,Commentaires_globaux_Test_1et2,MonCal.Facts.RF,J’ai eu 23/28 avec 23 savoir certain.
3957366,Commentaires_globaux_Test_1et2,DomKldg,Les erreurs que j’ai faites étaient sur ce que je ne savais vraiment pas
3957368,Commentaires_globaux_Test_1et2,MotOrient.SelfEff,Je suis assez satisfait des résultats par rapport à ma mémoire à long terme qui n’est pas géniale.
,,,
3957369,Commentaires_globaux_Test_1et2,MonCal.Facts.RF,Globalement j’ai presque le double de réponse correct par rapport au réponses incorrectes et seulement 2 ignorances.
3957372,Commentaires_globaux_Test_1et2,MonCal.Facts.DC,La courbe de réponses correctes suit presque la courbe en J avec quand même beaucoup de savoir fragile malgré qu’il y en a beaucoup moins que de savoir certain. Cependant la courbe de réponse incorrectes ne suit pas du tout la courbe en pointillés puisqu’il y a beaucoup d’erreurs dangereuses 6 pour 9 réponses incorrect.
3957375,Commentaires_globaux_Test_1et2,CTRL,Lors du prochain test il faudrait diminuer le nombre d’erreurs dangereuses et me rapprocher de la courbe en J et aussi diminuer le savoir fragile afin d’être plus certaine.
,,,
3957380,Commentaires_globaux_Test_1et2,BDS.Emotions,mais je suis heureux de posséder un esprit très intuitif.
,,,
3957381,Commentaires_globaux_Test_1et2,MonCal.Facts.RF,18 réponses correctes 9 réponses fausses dangereuses 1 réponse ignorante-Imprudence
,,,
3957384,Commentaires_globaux_Test_1et2,DomKldg,dû au fait que je confonds des notions de cours
3991617,Commentaires_globaux_Test_1et2,MonCal.Facts.RF,J’ai quasiment le même nombre de réponse juste (13) et de fausses (9)
3991621,Commentaires_globaux_Test_1et2,StratKldg,mal lu le document
3991645,Commentaires_globaux_Test_1et2,StratKldg, je ne veux pas être déçu face à une réponse fausse.
3991647,Commentaires_globaux_Test_1et2,StratKldg,Les erreurs présumées j’ai beaucoup de 70% parce que j’ai réfléchi mais pas au max donc j’ai pu faire des erreurs
3991652,Commentaires_globaux_Test_1et2,MotOrient.Value,Et les ignorances déclarées c’est parce que je suis fatigué et pas motivé pour beaucoup réfléchir donc je n’avais pas envie de me lancer dans de grandes réflexion.
3991657,Commentaires_globaux_Test_1et2,CTRL,Je pense que je m’appliquerais plus et les réponses où je pense avoir faux je mettrais 60% au lieu de 70% de même que pour le savoir j’essayerais d’être plus confiante sur mes connaissances.
,,,
3991661,Commentaires_globaux_Test_1et2,MonCal.Facts.DC,100% de savoir certain mais aussi 100% d’erreur dangereuse
3991662,Commentaires_globaux_Test_1et2,MonCal.Interpret,révèle de l’imprudence
3991664,Commentaires_globaux_Test_1et2,MotOrient.SelfEff,Il faudrait que je sois moins sûr de vrai et que soit moins tranchée sur mes connaissances.
,,,
3991665,Commentaires_globaux_Test_1et2,MonCal.Facts.RF,"Sur 28 questions, il y a 24 réponses correctes, 0 ignorance déclarée et 4 réponses incorrectes."
3991668,Commentaires_globaux_Test_1et2,DomKldg,Les 4 mauvaises réponses sont sur les formules (3) et une sur le ph.
3991669,Commentaires_globaux_Test_1et2,MonCal.Interpret,La courbe montre un peu trop de prudence.
,,,
3991672,Commentaires_globaux_Test_1et2,MonCal.Facts.RF,Réponses incorrectes : 4ignorances : 7réponses correctes
3991675,Commentaires_globaux_Test_1et2,MonCal.Interpret,les courbes révèlent de la prudence.
,,,
3991678,Commentaires_globaux_Test_1et2,MonCal.Interpret,"Les erreurs dangereuses en était globalement peut nombreuse mêmes si ce n’est pas encore ça, mais je trouve que j’ai un savoir un peu fragile même si globalement c’est bien."
3991680,Commentaires_globaux_Test_1et2,DomKldg,Je vais préciser mes connaissances.
,,,
3991686,Commentaires_globaux_Test_1et2,MonCal.Facts.RF,"Globalement il y a beaucoup de réponses correctes, score globale = 22/28"
3991687,Commentaires_globaux_Test_1et2,MonCal.Facts.DC,pour les réponses correctes les résultats correspondent à la courbe en J mais pour celles incorrectes il y a trop d’erreurs dangereuses (4)
3991690,Commentaires_globaux_Test_1et2,MonCal.Interpret,Cela révèle un peu trop d’imprudence
3991692,Commentaires_globaux_Test_1et2,CTRL,Etre plus attentive aux termes de la question et répondre moins vite
,,,
3991694,Commentaires_globaux_Test_1et2,MonCal.Facts.RF,"Globalement, sur 28 questions, j’ai obtenu 23 réponses correctes, 3 incorrectes et 2 où je ne savais pas."
3991697,Commentaires_globaux_Test_1et2,StratKldg,Ce score global est sûrement du au temps passé sur le test (40 min).
3991701,Commentaires_globaux_Test_1et2,MonCal.Facts.DC,J’observe un écart quant à la certitude de mes réponses juste
3991702,Commentaires_globaux_Test_1et2,MotOrient.SelfEff,je ne suis pas assez sûre de moi.
3991704,Commentaires_globaux_Test_1et2,CTRL,Je pourrais être plus réaliste en ayant plus sur de moi lorsque je réponds.
,,,
3991731,Commentaires_globaux_Test_1et2,MonCal.Facts.RF,Erreur dangereuse : 6 Savoir fragile 5 erreur présumée : 2 Savoir certain 15
3991735,Commentaires_globaux_Test_1et2,CTRL,Il faudrait que je sois meilleur pour distinguer mes erreurs à l’avance.
3991740,Commentaires_globaux_Test_1et2,StratKldg,"J’ai souvent du mal avec les QCM, je suis influencé par les questions."
,,,
3991741,Commentaires_globaux_Test_1et2,MonCal.Facts.RF,"Le score total est de 23/28,"
4010456,Commentaires_globaux_Test_1et2,MonCal.Facts.DC,Mes courbes ne correspondent pas trop au courbe en J
4010458,Commentaires_globaux_Test_1et2,MonCal.Interpret,j’ai été trop prudente globalement
3991751,Commentaires_globaux_Test_1et2,CTRL,"Pour devenir davantage réaliste, il faudrait que je passe plus de temps pour répondre à la question."
,,,
3991753,Commentaires_globaux_Test_1et2,MonCal.Interpret,Test correct dans l’ensemble
3991755,Commentaires_globaux_Test_1et2,MonCal.Facts.RF,"1 erreur dangereuse, 3 erreurs présumées, 3 ignorances déclarées, 3 savoir fragile et 18 savoir certains"
3991759,Commentaires_globaux_Test_1et2,MotOrient.Value,Test complet et intéressant
,,,
4010465,Commentaires_globaux_Test_1et2,MonCal.Interpret,Mes notes sont assez bonnes
4010466,Commentaires_globaux_Test_1et2,DomKldg,malgré des connaissances plutôt approximatives.
,,,
3991772,Commentaires_globaux_Test_1et2,MonCal.Interpret,Très bon test
3991777,Commentaires_globaux_Test_1et2,CTRL,Il faudrait peut-être écrire des conclusions en fonction des résultats obtenus
,,,
4010468,Commentaires_globaux_Test_1et2,MonCal.Interpret,Mon test est plutôt réussi
3991784,Commentaires_globaux_Test_1et2,DomKldg,malgré des connaissances approximatives
3993343,Commentaires_globaux_Test_1et2,DomKldg,Il faudrait plus de connaissances pour mieux le réussir.
,,,
3991790,Commentaires_globaux_Test_1et2,MonCal.Facts.RF,"beaucoup de réponses correctes (21), pas d’ignorance, 7 réponses fausses (erreurs dangereuses)"
3991796,Commentaires_globaux_Test_1et2,StratKldg,"j’ai parfois mal lu les questions, lu trop vite et du coup, j’ai loupé des données ou mal vu certaines données."
3991803,Commentaires_globaux_Test_1et2,MonCal.Interpret,j’ai pas mal d’erreurs dangereuses -> imprudence
3991808,Commentaires_globaux_Test_1et2,CTRL,"plus réfléchir avant de répondre, aller moins vite, bien vérifier mes réponses."
,,,
3991810,Commentaires_globaux_Test_1et2,MonCal.Facts.RF,Beaucoup de réponses correctes (23/28)
3991811,Commentaires_globaux_Test_1et2,MonCal.Facts.DC,"dont 19 en savoir certain, 1 en savoir fragile, 3 en ignorance déclarée. -> 5 erreurs dont 4 en erreur dangereuse et 1 en erreur présumée"
3991813,Commentaires_globaux_Test_1et2,StratKldg,certaines erreurs dû à de l’inattention ou à la vitesse de lecture (trop vite)
3991866,Commentaires_globaux_Test_1et2,MonCal.Interpret,Révèle que j’ai manqué de prudence sur certains points
3991867,Commentaires_globaux_Test_1et2,CTRL,Prendre mon temps
3991869,Commentaires_globaux_Test_1et2,MotOrient.SelfEff,pas mettre 100% sûr alors qu’un doute est là
,,,
3991871,Commentaires_globaux_Test_1et2,MonCal.Facts.RF,"Globalement, il y a eu beaucoup de réponses correctes et peu de réponses incorrectes, il n’y a pas eu d’ignorance"
3991873,Commentaires_globaux_Test_1et2,DomKldg,Ce score global montre des connaissances mais quelques partialités en général.
3991881,Commentaires_globaux_Test_1et2,MonCal.Facts.DC,"Pour les réponses incorrectes, il y a plus d’erreur à 90% / 80% de certitude et cela ne suit pas la courbe en J. En revanche, pour les réponses correctes, plus la courbe augmente, plus le savoir certain augmente aussi malgré 60% de certitude au début. Mais relativement de faibles écarts entre la courbe en J et résultats"
3991884,Commentaires_globaux_Test_1et2,MonCal.Interpret,Cela révèle donc de certaines imprudences au niveau du jugement.
3991889,Commentaires_globaux_Test_1et2,CTRL,"Afin de devenir d’avantage réaliste, je devrais mettre une plus faible certitude sur les hésitations"
3991891,Commentaires_globaux_Test_1et2,DomKldg,je devrais me concentrer plus sur les questions techniques et complexes.
,,,
3991898,Commentaires_globaux_Test_1et2,MotOrient.SelfEff,Je n’étais pas très sûr de moi
3991899,Commentaires_globaux_Test_1et2,MonCal.Facts.RF,j’ai fait beaucoup d’erreurs
,,,
3991913,Commentaires_globaux_Test_1et2,DomKldg,Mes connaissances semblent suffisantes
3991914,Commentaires_globaux_Test_1et2,MonCal.Facts.RF,j’ai beaucoup plus de réponses correctes qu’incorrectes (23/28).
3991919,Commentaires_globaux_Test_1et2,MotOrient.SelfEff,mon jugement est moyennement réaliste 
3991922,Commentaires_globaux_Test_1et2,MonCal.Interpret,Je pense que je suis trop imprudent : il n’y a aucune ignorance mais beaucoup de réponses certaines entraînant des erreurs dangereuses et peu de savoirs fragiles.
3991925,Commentaires_globaux_Test_1et2,DomKldg,"Je devrais mieux apprendre mes définitions et formules, mieux maîtriser l’analyse dimensionnelle"
3991933,Commentaires_globaux_Test_1et2,MonCal.Interpret,être plus prudent.
,,,
3991961,Commentaires_globaux_Test_1et2,MonCal.Facts.DC,"Je vois qu’il y a qu’une ignorance ce qui est pas mal, après il y a 7 erreurs dangereuses"
3991963,Commentaires_globaux_Test_1et2,StratKldg,Mais il y avait quelques questions subtiles qui induisaient en erreur si on ne possède pas un bon instinct
3991966,Commentaires_globaux_Test_1et2,BDS.Emotions,Je suis quand même plutôt content de mon résultat
3991972,Commentaires_globaux_Test_1et2,CTRL,je pourrais mieux réussir la prochaine fois avec un brouillon et un peu plus de motivation
,,,
3991973,Commentaires_globaux_Test_1et2,MonCal.Facts.RF,J’ai une proportion de réponses corrects supérieur à celles incorrects et aucune ignorance.
3991977,Commentaires_globaux_Test_1et2,MonCal.Facts.DC,Mais des erreurs dangereuses. Les courbes de mes résultats ne suivent pas les courbes en J
3991979,Commentaires_globaux_Test_1et2,MotOrient.SelfEff,j’ai donc tendance a être trop confiant sur des réponses fausses et pas assez sur des réponses exacts.
3991981,Commentaires_globaux_Test_1et2,CTRL,Pour les test à venir il faudrait que je doute plus des réponses au quelles je suis susceptible d’avoir faux et que je sois plus sure des questions auxquelles j’ai justes.
,,,
3991984,Commentaires_globaux_Test_1et2,MonCal.Facts.RF,Résultat de 23/28 questions
3991987,Commentaires_globaux_Test_1et2,MonCal.Facts.DC,Je suis plutôt sûre de mes réponses car je suis soit en savoir certain soit en erreur dangereuse
3991991,Commentaires_globaux_Test_1et2,StratKldg,"Mes erreurs sont en général dues à de l’inattention (ex: son dans l’eau, je me dis que 1,5. 10^3 < 340 alors que mon résultat est juste, pareil pour l’énergie dans ma tête 10^-9 > 10^-4)"
3991993,Commentaires_globaux_Test_1et2,DomKldg,il faut que je renforce ma maîtrise des puissances de 10)
,,,
3992005,Commentaires_globaux_Test_1et2,MonCal.Facts.DC,"Globalement il y a beaucoup de réponses correctes (20) qui ont été pour la plupart attribué à un savoir certain (certitude 100%), par contre 5 réponses dangereuses (et 2 ignorances)."
3992009,Commentaires_globaux_Test_1et2,CTRL,"Pour être davantage réaliste lors du prochain test, il faudrait lorsqu’une de mes réponses n’est pas certaine à 100%, baisser le pourcentage à 80% ou à 60 % pour être plus prudente."
,,,
3992015,Commentaires_globaux_Test_1et2,MonCal.Facts.RF,Il y a beaucoup de réponses correctes mais je suis peu sûre de mes connaissances
3992016,Commentaires_globaux_Test_1et2,MonCal.Interpret,Je suis prudente parfois trop
3992018,Commentaires_globaux_Test_1et2,MotOrient.SelfEff,il faut que je prenne confiance en moi.
,,,
3992020,Commentaires_globaux_Test_1et2,MonCal.Facts.RF,"Sur 48 questions, j’ai eu 41 bonnes réponses dont 32 où j’étais presque sûre"
3992021,Commentaires_globaux_Test_1et2,CTRL,je pourrais améliorer ma courbe en étant plus sûre de moi.
3992026,Commentaires_globaux_Test_1et2,DomKldg,J’ai également fait 2 erreurs dangereuses et 3 erreurs présumées sur des questions auxquelles je ne connaissais majoritairement pas le cours (=> revoir les filtres d’absorption !)
3992030,Commentaires_globaux_Test_1et2,DomKldg,mais pour cela je pense qu’il est nécessaire de bien revoir mon cours et de le connaitre mieux afin que je réponde automatiquement à certaines questions et à ne pas douter.
,,,
3992032,Commentaires_globaux_Test_1et2,MonCal.Facts.RF,"Globalement, j’ai beaucoup de réponses correctes mais seulement 15% d’erreurs dangereuses"
3992033,Commentaires_globaux_Test_1et2,DomKldg,une grosse partie est due au fait que je ne connaissais pas mes formules
3992038,Commentaires_globaux_Test_1et2,MotOrient.SelfEff,"De manière générale, je suis plutôt réaliste"
3992041,Commentaires_globaux_Test_1et2,CTRL,Il faut que je m’entraine plus pour le prochain test
3992043,Commentaires_globaux_Test_1et2,DomKldg,"Mais de manière générale, mes connaissances sont suffisantes."
,,,
3992046,Commentaires_globaux_Test_1et2,CTRL,Fautes d’intention-> faire plus attention aux détails.
3992048,Commentaires_globaux_Test_1et2,DomKldg,Faire attention aux relations de type quand lambda (symbole) alors f
,,,
3992049,Commentaires_globaux_Test_1et2,MonCal.Facts.RF,"Globalement, j’ai beaucoup de réponses correctes dont beaucoup de savoirs certains. Cependant, j’ai aussi pas mal d’erreurs dangereuses par rapport aux erreurs présumées. Il y a un assez grand écart avec la courbe en J concernant les réponses incorrectes."
3992050,Commentaires_globaux_Test_1et2,MonCal.Interpret,Je ne suis peut-être pas assez prudente.
,,,
3992054,Commentaires_globaux_Test_1et2,MonCal.Facts.RF,"J’ai 36 réponses justes sur 48, la plupart des savoirs."
3992057,Commentaires_globaux_Test_1et2,MonCal.Facts.DC,"J’ai 12 erreurs, 2 dans l’ignorance déclarée, 4 dans les erreurs présumées"
3992059,Commentaires_globaux_Test_1et2,DomKldg,ce sont les chapitres que je maitrisais moins.
3992063,Commentaires_globaux_Test_1et2,StratKldg,"J’ai 6 erreurs dangereuses ce sont les erreurs de calculs, d’inattention et de mauvaise lecture."
,,,
3992065,Commentaires_globaux_Test_1et2,MonCal.Facts.DC,"Globalement, il y a quelques erreurs dangereuses (3) et présumées (3) et une majorité de réponses correctes. La courbe ne J atteint son maximum dans les réponses correctes pour 80%."
3992067,Commentaires_globaux_Test_1et2,MotOrient.SelfEff,On peut constater un manque de confiance concernant les connaissances acquises et comprises.
3992070,Commentaires_globaux_Test_1et2,CTRL,"Pour le prochain test, il serait préférable de prendre confiance vis à vis des réponses certaines"
3992074,Commentaires_globaux_Test_1et2,CTRL,éviter les erreurs dangereuses en prêtant attention à l’énoncé (bien lire l’énoncé).
,,,
3992112,Commentaires_globaux_Test_1et2,MonCal.Facts.DC,J’ai plutôt pas mal de savoir certain
3992113,Commentaires_globaux_Test_1et2,MotOrient.SelfEff,il est vrai que je doute souvent peu de ce que je connais bien
3992114,Commentaires_globaux_Test_1et2,StratKldg,Lors des erreurs dangereuses je pense être allée trop vite et ne pas avoir pris le temps de réfléchir.
3992115,Commentaires_globaux_Test_1et2,CTRL,"Pour la prochaine fois, il faut que je prenne plus de temps pour lire l’énoncé et pour réfléchir."
3992117,Commentaires_globaux_Test_1et2,CTRL,Il faut aussi que je sois un peu plus sûre de moi sur certains points
,,,
