[Il y a eu beaucoup de réponse incorrecte et pas mal d'ignorance] ; human(MonCal.Facts.RF) ; IA(MonCal.Facts.DC)
[le plus grave ? les erreurs dangereuses que j'ai fait.] ; human(MonCal.Interpret) ; IA(MonCal.Facts.DC)
[Ce test m'a permis de réaliser que mes connaissances sont moins solides que ce que j'espérais] ; human(MotOrient.Value) ; IA(MotOrient.SelfEff)
[J'ai autant de réponses incorrectes que d'ignorances.] ; human(MonCal.Facts.RF) ; IA(MonCal.Facts.DC)
[9 réponses fausses (4 ! 5. . )3 ignorances20 réponses correctes (8 . . . 12 :)23/32] ; human(MonCal.Facts.RF) ; IA(MonCal.Facts.DC)
[je ne suis pas du tout sûr de ce que je réponds en chimie] ; human(MotOrient.SelfEff) ; IA(DomKldg)
[La courbe en J des réponses correctes montre qu'en général, je sais quand j'ai la bonne réponse. Cependant je ne sais pas forcément quand j'ai la mauvaise réponse, la courbe en J des réponses incorrectes m'indiquant beaucoup d'erreurs dangereuses et ne suivant pas la forme du J. Cela relève d'une certaine imprudence.] ; human(MonCal.Interpret) ; IA(MonCal.Facts.DC)
[Pour espérer devenir davantage réaliste lors du prochain test, je pourrais me fier davantage à mes réelles connaissances plutôt qu'à mes estimations sur quelle réponse pourrait être la bonne, si une question semble une question piège,] ; human(CTRL) ; IA(MonCal.Interpret)
[Globalement, j'ai réussi à être plus certaine de mes réponses (22 savoirs certains et 1 savoir fragile) mais ça a créé de ce fait quelques erreurs dangereuses (7). Par rapport au premier test, je peux remarquer que la courbe en J est plus conséquente pour les réponses correctes] ; human(MonCal.Facts.DC) ; IA(MonCal.Interpret)
[Pour le prochain test, il faudrait que je me laisse un peu plus de temps avant de répondre et bien analyser les docs.] ; human(CTRL) ; IA(StratKldg)
[C'est un peu meilleur que le premier test mais c'est parce que les questions étaient sur des chapitres vus en Terminale tandis que le premier test était sur des chapitres vus en Première.] ; human(DomKldg) ; IA(MonCal.Facts.RF)
[Pour le prochain test, je devrais approfondir les bases du cours (non-acquis) avec des exercices.] ; human(CTRL) ; IA(DomKldg)
[J'ai mal jugé mes réponses et surestimé mes compétences] ; human(MotOrient.SelfEff) ; IA(MonCal.Interpret)
[Ce test m'a permis de comprendre que je dois faire plus attention aux énoncés.] ; human(MotOrient.Value) ; IA(StratKldg)
[Relativement satisfait car peu d'erreurs et peu savoir fragile comme je le pensais lors du test. J'étais assez souvent très sûr de moi.] ; human(MonCal.Interpret) ; IA(MotOrient.SelfEff)
[Globalement, il y a plus de réponses savoir certain que d'erreur dangereuse ,] ; human(MonCal.Facts.DC) ; IA(MonCal.Facts.RF)
[e trouve que j'ai été trop rapide dans mes choix de réponse ainsi à l'avenir il me faudra être plus réfléchi. Aussi des petites révisions ne me feraient pas de mal.] ; human(StratKldg) ; IA(CTRL)
[Je pense que je peux m'améliorer en étant plus prudente et en faisant plus attention aux énoncés.] ; human(CTRL) ; IA(MonCal.Interpret)
[Cela Vient en parti du fait que je ne connaissais pas les formules du cours et d'interprétations fausses des documents] ; human(DomKldg) ; IA(DomKldg, MonCal.Interpret)
[Je suis assez content du résultat, ça aurait pu être pire. Ce test provoque chez moi de l'anxiété] ; human(BDS.Emotions) ; IA(BDS.Emotions, StratKldg)
[des connaissances certaines dans le domaine de la physique chimie] ; human(DomKldg) ; IA(MotOrient.SelfEff)
[Afin de devenir davantage réaliste lors du prochain test, il me faudra être plus technique dans mes connaissances en physique chimie.] ; human(CTRL) ; IA(StratKldg)
[ce test ne m'apporte pas grand-chose, que quelques connaissances sur quelques détails précis] ; human(MotOrient.Value) ; IA(MonCal.Facts.RF)
[J'ai appris que je devrais me fier plus à mes connaissances qu'à la pertinence de la question] ; human(MotOrient.Value) ; IA(MonCal.Interpret)
[un savoir certain , 4 savoir fragile , pour les erreurs, 5 erreur dangereuse et 7 erreur présumée] ; human(MonCal.Facts.DC) ; IA(MonCal.Facts.DC, MonCal.Facts.RF, StratKldg, MonCal.Facts.DC, MonCal.Facts.RF, MonCal.Facts.DC, MonCal.Facts.RF, MonCal.Facts.DC, MonCal.Facts.DC, MonCal.Facts.DC, MonCal.Facts.RC)
[Pour m'améliorer davantage, il faut que je réponde plus spontanément car il y a des questions où j'ai trop hésité] ; human(CTRL) ; IA(MotOrient.SelfEff)
[21 réponses correctes, 5 ignorances et 6 réponses incorrectes] ; human(MonCal.Facts.RF) ; IA(MonCal.Facts.DC)
