[Cela révèle que je ne suis pas sûr de mes réponses] ; human(MotOrient.SelfEff) ; IA(MonCal.Interpret)
[Ce test m'a permis de comprendre que je dois faire plus attention aux énoncés.] ; human(MotOrient.Value) ; IA(MonCal.Interpret)
[e trouve que j'ai été trop rapide dans mes choix de réponse ainsi à l'avenir il me faudra être plus réfléchi. Aussi des petites révisions ne me feraient pas de mal.] ; human(StratKldg) ; IA(CTRL)
[Je pense que je peux m'améliorer en étant plus prudente et en faisant plus attention aux énoncés.] ; human(CTRL) ; IA(MonCal.Interpret)
[Les courbes ne sont pas en J (légèrement pour les bonnes réponses, mais pas du tout sur les mauvaises)] ; human(MonCal.Facts.DC) ; IA(MonCal.Facts.RF)
[J'ai plutôt assez bien réussi le test, mieux que le premier il me semble] ; human(MonCal.Interpret) ; IA(MonCal.Facts.RF)
[Mon savoir est là, mais cependant je fais encore trop d'erreurs d'inattention sur des choses bêtes. Il faut que je me concentre tout le long pour répondre à toutes les questions.] ; human(StratKldg) ; IA(MonCal.Interpret)
[Cela révèle mon énorme manque de confiance en moi] ; human(MotOrient.SelfEff) ; IA(BDS.Emotions)
[Pour m'améliorer, je pourrais donc prendre plus de temps pour répondre et assimiler les énoncés.] ; human(CTRL) ; IA(StratKldg)
[Afin de devenir davantage réaliste lors du prochain test, il me faudra être plus technique dans mes connaissances en physique chimie.] ; human(CTRL) ; IA(DomKldg)
[Je devrais être plus attentif sur les questions.] ; human(StratKldg) ; IA(CTRL)
[J'ai appris que je devrais me fier plus à mes connaissances qu'à la pertinence de la question] ; human(MotOrient.Value) ; IA(MotOrient.SelfEff)
[Je repère beaucoup de prudence car je peux présumer mes erreurs éventuel , ce qui me permet d'avoir peut d'erreur dangereuse.] ; human(MonCal.Interpret) ; IA(MonCal.Facts.DC)
[Pour m'améliorer davantage, il faut que je réponde plus spontanément car il y a des questions où j'ai trop hésité] ; human(CTRL) ; IA(StratKldg)
[Ces erreurs dangereuses sont dues à un manque de connaissances.] ; human(MonCal.Interpret) ; IA(DomKldg)
[Courbe en J similaire pour les réponses correctes mais pas pour les incorrectes (moins exponentielle)] ; human(MonCal.Facts.DC) ; IA(MonCal.Facts.RF)
[Plutôt des erreurs d'inattention que du manque de réalisme.] ; human(StratKldg) ; IA(MonCal.Interpret)
[Pour les réponses incorrectes, il y a bien une courbe en J, par contre pour les réponses incorrectes la courbe n'a pas cette forme.] ; human(MonCal.Facts.DC) ; IA(MonCal.Interpret)
[Il y a pas mal de savoir fragile ce qui montre de la prudence.] ; human(MonCal.Interpret) ; IA(MonCal.Facts.DC)
[imprudence] ; human(MonCal.Interpret) ; IA(BDS.Emotions)
[Mes courbes sont loin de celle en J] ; human(MonCal.Facts.DC) ; IA(MonCal.Interpret)
[je suis mi prudente/ mi imprudente.] ; human(MonCal.Interpret) ; IA(BDS.Emotions)
[il faut revoir certaines choses de mon cours] ; human(CTRL) ; IA(DomKldg)
[Afin d'être plus réaliste lors du prochain test, une meilleure connaissance de son cours serait préférable] ; human(CTRL) ; IA(DomKldg)
[Pour devenir davantage réaliste je devrais réfléchir plus longtemps sur certaines questions et faire attention aux pièges.] ; human(CTRL) ; IA(StratKldg)
[Ce score global (par rapport aux erreurs dangereuses) est peut-être dût à de la précipitation] ; human(StratKldg) ; IA(MonCal.Interpret)
[La courbe en J au niveau des réponses incorrectes n'est pas bonne] ; human(MonCal.Facts.DC) ; IA(MonCal.Facts.RF)
[il y a trop d’assurance pour des réponses qui sont fausses] ; human(MotOrient.SelfEff) ; IA(MonCal.Facts.DC)
[Les erreurs dangereuses viennent du fait que je lis parfois trop vite et de ce fait j'oublie des informations] ; human(StratKldg) ; IA(MonCal.Facts.DC)
[Pour les réponses incorrectes, mes résultats vont en descendant en fonction du degré de certitude mais les réponses correctes suivent la courbe en J] ; human(MonCal.Facts.DC) ; IA(MonCal.Interpret)
[mon jugement n'est pas réaliste] ; human(MotOrient.SelfEff) ; IA(MonCal.Interpret)
[Je suis donc trop imprudent.] ; human(MonCal.Interpret) ; IA(BDS.Emotions)
[Certaines de ces erreurs sont dues à un manque de réflexion par rapport aux questions (ex: confondre semi-équation et équation de réaction)] ; human(StratKldg) ; IA(DomKldg)
[Il faut que je travaille mieux mes notions] ; human(StratKldg) ; IA(DomKldg)
[trois erreurs dangereuses (à80%) qui sont dues à une mauvaise lecture de l'énoncé et une confusion entre plusieurs éléments de la consigne] ; human(StratKldg) ; IA(MonCal.Facts.DC)
[ce qui témoigne d'une bonne connaissance d'une partie du programme et une connaissance partielle d'une autre partie du programme] ; human(DomKldg) ; IA(MonCal.Interpret)
[Pour un meilleur résultat la fois prochaine, il faudrait ouvrir le livre de SPC notamment sur la mécanique] ; human(CTRL) ; IA(DomKldg)
[j'ai été beaucoup moins prudente que sur le dernier test, j'ai pris des risques] ; human(MonCal.Interpret) ; IA(BDS.Emotions)
[Il faut encore que je me concentre davantage sur les énoncés, prendre le temps de bien lire surtout sur la mécanique] ; human(CTRL) ; IA(StratKldg)
[des confusions et des souvenirs erronés du à des réponses données basées non pas sur un cours appris mais sur des souvenirs de classes et des exercices faits.] ; human(StratKldg) ; IA(MonCal.Facts.DC)
[j'ai échangé 2 valeurs dans une formule que je n'ai pas trop comprise] ; human(DomKldg) ; IA(MonCal.Interpret)
[je n'ai pas bien relu mes chapitres] ; human(StratKldg) ; IA(DomKldg)
[je pense que le cours est moins maitrisé] ; human(StratKldg) ; IA(MonCal.Interpret)
[dans certaines questions je n’étais pas concentré sur le sujet] ; human(StratKldg) ; IA(BDS.Emotions)
[j'ai été plus réaliste] ; human(MotOrient.SelfEff) ; IA(BDS.Emotions)
[mes connaissances pas encore assez solides.] ; human(StratKldg) ; IA(DomKldg)
[Ceci démontre de mon évolution sur le plan mental notamment. Dans mon assurance à répondre aux questions.] ; human(MotOrient.SelfEff) ; IA(MonCal.Interpret)
[mon problème réside dans ma précipitation] ; human(StratKldg) ; IA(MonCal.Interpret)
[j'ai pas revu le cours] ; human(StratKldg) ; IA(DomKldg)
[un manque d'attention sur certains détails] ; human(StratKldg) ; IA(DomKldg)
[Des erreurs que je pouvait éviter souvent dû au manque de concentration] ; human(StratKldg) ; IA(BDS.Emotions)
[Chapitres pas assez bien travaillés] ; human(StratKldg) ; IA(DomKldg)
[mauvais apprentissage du cours] ; human(StratKldg) ; IA(DomKldg)
[bien relire les consignes] ; human(StratKldg) ; IA(CTRL)
