[Cela révèle que je ne suis pas sûr de mes réponses] ; human(MotOrient.SelfEff) ; IA(MotOrient.Interpret)
[j'ai fait plus de fautes que la dernière fois,] ; human(MonCal.Facts.RF) ; IA(<CTRL>)
[D'après ma courbe, j'ai tendance à être à la fois trop prudente (avec 12 savoirs fragiles) et à la fois pas assez (7 erreurs dangereuses)] ; human(MonCal.Interpret) ; IA(MonCal.Facts.DC)
[Je pense qu'en essayant de relire mes leçons avant le test, je pourrais être plus sûre de mes réponses] ; human(StratKldg) ; IA(MotOrient.Value)
[J'étais aussi peu attentive] ; human(StratKldg) ; IA(BDS.Emotions)
[Les lois de Kepler sont à apprendre !] ; human(DomKldg) ; IA(DomainKldg)
[Cela me permet de savoir ce que je dois réviser et mes points faibles.] ; human(MotOrient.Value) ; IA(DomainKldg)
[le plus grave ? les erreurs dangereuses que j'ai fait.] ; human(MonCal.Interpret) ; IA(<MonCal.Facts.DC>)
[Ce test m'a permis de réaliser que mes connaissances sont moins solides que ce que j'espérais] ; human(MotOrient.Value) ; IA(MotOrient.SelfEff)
[J'ai autant de réponses incorrectes que d'ignorances.] ; human(MonCal.Facts.RF) ; IA(MonCal.Facts.DC)
[9 réponses fausses (4 ! 5. . )3 ignorances20 réponses correctes (8 . . . 12 :)23/32] ; human(MonCal.Facts.RF) ; IA(MonCal.Facts.DC)
[je ne suis pas du tout sûr de ce que je réponds en chimie] ; human(MotOrient.SelfEff) ; IA(DomKldg)
[La courbe en J des réponses correctes montre qu'en général, je sais quand j'ai la bonne réponse. Cependant je ne sais pas forcément quand j'ai la mauvaise réponse, la courbe en J des réponses incorrectes m'indiquant beaucoup d'erreurs dangereuses et ne suivant pas la forme du J. Cela relève d'une certaine imprudence.] ; human(MonCal.Interpret) ; IA(MonCal.Facts.DC)
[Pour espérer devenir davantage réaliste lors du prochain test, je pourrais me fier davantage à mes réelles connaissances plutôt qu'à mes estimations sur quelle réponse pourrait être la bonne, si une question semble une question piège,] ; human(CTRL) ; IA(MonCal.Interpret)
[trop prudent] ; human(MonCal.Interpret) ; IA(<MonCal.Interpret>)
[Globalement, j'ai réussi à être plus certaine de mes réponses (22 savoirs certains et 1 savoir fragile) mais ça a créé de ce fait quelques erreurs dangereuses (7). Par rapport au premier test, je peux remarquer que la courbe en J est plus conséquente pour les réponses correctes] ; human(MonCal.Facts.DC) ; IA(MonCal.Interpret)
[Pour le prochain test, il faudrait que je me laisse un peu plus de temps avant de répondre et bien analyser les docs.] ; human(CTRL) ; IA(<CTRL>)
[Il y a un manque de rigueur car j'ai mal lu les énoncés et cela m'a induit en erreur et c'est pour cela que j'ai eu des réponses qui étaient erronées] ; human(StratKldg) ; IA(MonCal.StratKldg)
[C'est un peu meilleur que le premier test mais c'est parce que les questions étaient sur des chapitres vus en Terminale tandis que le premier test était sur des chapitres vus en Première.] ; human(DomKldg) ; IA(MonCal.Facts.RF)
[Pour le prochain test, je devrais approfondir les bases du cours (non-acquis) avec des exercices.] ; human(CTRL) ; IA(<DomainKldg>)
[Ce test m'a permis de comprendre que je dois faire plus attention aux énoncés.] ; human(MotOrient.Value) ; IA(MonCal.Interpret)
[Globalement, il y a plus de réponses savoir certain que d'erreur dangereuse ,] ; human(MonCal.Facts.DC) ; IA(MonCal.Facts.RF)
[e trouve que j'ai été trop rapide dans mes choix de réponse ainsi à l'avenir il me faudra être plus réfléchi. Aussi des petites révisions ne me feraient pas de mal.] ; human(StratKldg) ; IA(CTRL)
[Je pense que je peux m'améliorer en étant plus prudente et en faisant plus attention aux énoncés.] ; human(CTRL) ; IA(<MonCal.Interpret>)
[Je suis assez content du résultat, ça aurait pu être pire. Ce test provoque chez moi de l'anxiété] ; human(BDS.Emotions) ; IA(BDS.Emotions, CTRL)
[Je dois mieux lire les énoncés et être plus attentif sur les réponses] ; human(StratKldg) ; IA(MonCal.Interpret)
[Pour m'améliorer, je pourrais donc prendre plus de temps pour répondre et assimiler les énoncés.] ; human(CTRL) ; IA(<CTRL>)
[des connaissances certaines dans le domaine de la physique chimie] ; human(DomKldg) ; IA(<DomKldg>)
[Afin de devenir davantage réaliste lors du prochain test, il me faudra être plus technique dans mes connaissances en physique chimie.] ; human(CTRL) ; IA(StratKldg)
[Les courbes en J assez respecté, malgré un léger surplus de savoir fragile (70%)] ; human(MonCal.Facts.DC) ; IA(MonCal.Facts.RF)
[ce test ne m'apporte pas grand-chose, que quelques connaissances sur quelques détails précis] ; human(MotOrient.Value) ; IA(MonCal.Facts.DC)
[J'ai appris que je devrais me fier plus à mes connaissances qu'à la pertinence de la question] ; human(MotOrient.Value) ; IA(MotOrient.SelfEff)
[Pour m'améliorer davantage, il faut que je réponde plus spontanément car il y a des questions où j'ai trop hésité] ; human(CTRL) ; IA(StratKldg)
[21 réponses correctes, 5 ignorances et 6 réponses incorrectes] ; human(MonCal.Facts.RF) ; IA(MonCal.Facts.DC)
[quelques difficultés en chimie.] ; human(DomKldg) ; IA(StratKldg)
[Il faudrait qu'au prochain test je sois plus sûr de moi pour avoir moins de savoir fragile et aussi avoir moins d'erreurs dangereuses.] ; human(CTRL) ; IA(<MonCal.Interpret>)
[imprudence] ; human(MonCal.Interpret) ; IA(<MonCal.Interpret>)
[ce qui traduit encore une légère imprudence] ; human(MonCal.Interpret) ; IA(<MonCal.Interpret>)
[Pour la prochaine je dois être plus prudente] ; human(CTRL) ; IA(MonCal.Interpret)
[il faut revoir certaines choses de mon cours] ; human(CTRL) ; IA(DomKldg)
[Pour les réponses correctes mes résultats correspondent à la courbe en J en général avec un pourcentage un peu trop élevé de savoir fragile.] ; human(MonCal.Facts.DC) ; IA(MonCal.Facts.RF)
[Pour devenir davantage réaliste je devrais réfléchir plus longtemps sur certaines questions et faire attention aux pièges.] ; human(CTRL) ; IA(<CTRL>)
[J'ai eu tout juste en physique, mais j'ai plus de mal en chimie car c'est moins concret. Les formules sont dures à comprendre donc à apprendre. De plus, mes erreurs dangereuses en chimie montrent que je n'ai pas tout compris.] ; human(DomKldg) ; IA(MonCal.Facts.DC)
[Ce score global (par rapport aux erreurs dangereuses) est peut-être dût à de la précipitation] ; human(StratKldg) ; IA(DomainKldg)
[Je pourrais être plus réaliste en lisant mieux les questions.] ; human(StratKldg) ; IA(CTRL)
[Bon test permettant ainsi de connaitre la qualité des connaissances.] ; human(MotOrient.Value) ; IA(DomKldg)
[De bonnes connaissances dans certains domaines, comme de sérieuses lacunes dans d'autres.] ; human(DomKldg) ; IA(MonCal.Kldg)
[Lors du prochain test, il s'agira de se montrer moins sur à 100% sur des réponses, même pour les réponses où je suis sûr de moi] ; human(CTRL) ; IA(MonCal.Facts.RF)
[mon jugement n'est pas réaliste] ; human(MotOrient.SelfEff) ; IA(<MonCal.Interpret>)
[Certaines de ces erreurs sont dues à un manque de réflexion par rapport aux questions (ex: confondre semi-équation et équation de réaction)] ; human(StratKldg) ; IA(MonCal.Interpret)
[Mes fautes sont surtout en chimie, c'est tout à fait normal car je ne comprends pas trop certaines méthodes à faire] ; human(DomKldg) ; IA(DomainKldg)
[Il faut que je travaille mieux mes notions] ; human(StratKldg) ; IA(DomKldg)
[trois erreurs dangereuses (à80%) qui sont dues à une mauvaise lecture de l'énoncé et une confusion entre plusieurs éléments de la consigne] ; human(StratKldg) ; IA(MonCal.Interpret)
[Pour un meilleur résultat la fois prochaine, il faudrait ouvrir le livre de SPC notamment sur la mécanique] ; human(CTRL) ; IA(DomainKldg)
[j'ai souvent répondu trop vite] ; human(StratKldg) ; IA(MotOrient.SelfEff)
[Pour la prochaine fois, essayer de prendre plus de temps dans la lecture de certaines questions] ; human(CTRL) ; IA(MonCal.StratKldg)
[j'ai été beaucoup moins prudente que sur le dernier test, j'ai pris des risques] ; human(MonCal.Interpret) ; IA(StratKldg)
[Il faut encore que je me concentre davantage sur les énoncés, prendre le temps de bien lire surtout sur la mécanique] ; human(CTRL) ; IA(StratKldg)
[des confusions et des souvenirs erronés du à des réponses données basées non pas sur un cours appris mais sur des souvenirs de classes et des exercices faits.] ; human(StratKldg) ; IA(DomainKldg)
[je n'ai pas bien relu mes chapitres] ; human(StratKldg) ; IA(DomKldg)
[j’ai des fois mal lu les consignes] ; human(StratKldg) ; IA(DomKldg)
[J’aurais mieux réussis si j’avais pu poser les questions à l'écrit sur une feuille et si j'avais pour prendre mon temps en recontextualisant les questions qui ont déjà été vues en classes ou évaluation.] ; human(StratKldg) ; IA(MotOrient.Value)
[je pense que le cours est moins maitrisé] ; human(StratKldg) ; IA(DomKldg)
[je n'ai pas pris le temps de bien comprendre les énoncés] ; human(StratKldg) ; IA(MonCal.Interpret)
[Incompréhension acide/base + titrage] ; human(DomKldg) ; IA(<DomainKldg>)
[j'ai été plus réaliste] ; human(MotOrient.SelfEff) ; IA(<CTRL>)
[mes connaissances pas encore assez solides.] ; human(StratKldg) ; IA(MonCal.Interpret)
[Ceci démontre de mon évolution sur le plan mental notamment. Dans mon assurance à répondre aux questions.] ; human(MotOrient.SelfEff) ; IA(<MonCal.Interpret>)
[mon problème réside dans ma précipitation] ; human(StratKldg) ; IA(MotOrient.SelfEff)
[j'ai pas revu le cours] ; human(StratKldg) ; IA(DomKldg)
[Chapitres pas assez bien travaillés] ; human(StratKldg) ; IA(DomKldg)
[mauvais apprentissage du cours] ; human(StratKldg) ; IA(DomKldg)
[bcp d'erreurs dangereuses] ; human(MonCal.Facts.DC) ; IA(MonCal.Interpret)
[bien relire les consignes] ; human(StratKldg) ; IA(<StratKldg>)
