[je préfère ne pas me risquer à dire que c'est juste si ça peut ne pas l'être] ; human(StratKldg) ; IA(MotOrient.SelfEff)
[J'ai mal jugé mes réponses et surestimé mes compétences] ; human(MotOrient.SelfEff) ; IA(MonCal.Interpret)
[Ce test m'a permis de comprendre que je dois faire plus attention aux énoncés.] ; human(MotOrient.Value) ; IA(MonCal.Facts.DC)
[Relativement satisfait car peu d'erreurs et peu savoir fragile comme je le pensais lors du test. J'étais assez souvent très sûr de moi.] ; human(MonCal.Interpret) ; IA(MotOrient.SelfEff)
[Globalement, il y a plus de réponses savoir certain que d'erreur dangereuse ,] ; human(MonCal.Facts.DC) ; IA(MonCal.Facts.RF)
[e trouve que j'ai été trop rapide dans mes choix de réponse ainsi à l'avenir il me faudra être plus réfléchi. Aussi des petites révisions ne me feraient pas de mal.] ; human(StratKldg) ; IA(CTRL)
[Je pense que je peux m'améliorer en étant plus prudente et en faisant plus attention aux énoncés.] ; human(CTRL) ; IA(MonCal.Interpret)
[Je suis toujours trop sûr de mes réponses] ; human(MotOrient.SelfEff) ; IA(MonCal.Interpret)
[des connaissances certaines dans le domaine de la physique chimie] ; human(DomKldg) ; IA(MotOrient.SelfEff)
[Afin de devenir davantage réaliste lors du prochain test, il me faudra être plus technique dans mes connaissances en physique chimie.] ; human(CTRL) ; IA(DomKldg)
[ce test ne m'apporte pas grand-chose, que quelques connaissances sur quelques détails précis] ; human(MotOrient.Value) ; IA(MonCal.Facts.DC)
[J'ai appris que je devrais me fier plus à mes connaissances qu'à la pertinence de la question] ; human(MotOrient.Value) ; IA(MotOrient.SelfEff)
[Pour m'améliorer davantage, il faut que je réponde plus spontanément car il y a des questions où j'ai trop hésité] ; human(CTRL) ; IA(StratKldg)
[Ces erreurs dangereuses sont dues à un manque de connaissances.] ; human(MonCal.Interpret) ; IA(MonCal.Kldg)
[La prochaine fois, je ferais attention aux tournures des phrases qui peuvent être dangereuses.] ; human(CTRL) ; IA(MonCal.StratKldg)
[Il faudrait qu'au prochain test je sois plus sûr de moi pour avoir moins de savoir fragile et aussi avoir moins d'erreurs dangereuses.] ; human(CTRL) ; IA(MonCal.Interpret)
[Pour la prochaine je dois être plus prudente] ; human(CTRL) ; IA(MonCal.Interpret)
[il faut revoir certaines choses de mon cours] ; human(CTRL) ; IA(DomKldg)
[23 savoir certain et pas d'erreur présumée et pas de savoir fragile] ; human(MonCal.Facts.DC) ; IA(MonCal.Facts.RF)
[J'ai eu tout juste en physique, mais j'ai plus de mal en chimie car c'est moins concret. Les formules sont dures à comprendre donc à apprendre. De plus, mes erreurs dangereuses en chimie montrent que je n'ai pas tout compris.] ; human(DomKldg) ; IA(MonCal.Facts.DC)
[Ce score global (par rapport aux erreurs dangereuses) est peut-être dût à de la précipitation] ; human(StratKldg) ; IA(MonCal.Interpret)
[il y a trop d’assurance pour des réponses qui sont fausses] ; human(MotOrient.SelfEff) ; IA(MonCal.Interpret)
[Bon test permettant ainsi de connaitre la qualité des connaissances.] ; human(MotOrient.Value) ; IA(MonCal.Facts.RF)
[Lors du prochain test, il s'agira de se montrer moins sur à 100% sur des réponses, même pour les réponses où je suis sûr de moi] ; human(CTRL) ; IA(MonCal.Facts.RF)
[Certaines de ces erreurs sont dues à un manque de réflexion par rapport aux questions (ex: confondre semi-équation et équation de réaction)] ; human(StratKldg) ; IA(MonCal.Interpret)
[Il faut que je travaille mieux mes notions] ; human(StratKldg) ; IA(DomKldg)
[trois erreurs dangereuses (à80%) qui sont dues à une mauvaise lecture de l'énoncé et une confusion entre plusieurs éléments de la consigne] ; human(StratKldg) ; IA(MonCal.Interpret)
[Pour un meilleur résultat la fois prochaine, il faudrait ouvrir le livre de SPC notamment sur la mécanique] ; human(CTRL) ; IA(DomKldg)
[j'ai été beaucoup moins prudente que sur le dernier test, j'ai pris des risques] ; human(MonCal.Interpret) ; IA(StratKldg)
[Il faut encore que je me concentre davantage sur les énoncés, prendre le temps de bien lire surtout sur la mécanique] ; human(CTRL) ; IA(StratKldg)
[des confusions et des souvenirs erronés du à des réponses données basées non pas sur un cours appris mais sur des souvenirs de classes et des exercices faits.] ; human(StratKldg) ; IA(DomKldg)
[je n'ai pas bien relu mes chapitres] ; human(StratKldg) ; IA(DomKldg)
[je pense que le cours est moins maitrisé] ; human(StratKldg) ; IA(DomKldg)
[Incompréhension acide/base + titrage] ; human(DomKldg) ; IA(MonCal.Facts.RF)
[j'ai été plus réaliste] ; human(MotOrient.SelfEff) ; IA(MonCal.Facts.RF)
[mes connaissances pas encore assez solides.] ; human(StratKldg) ; IA(MotOrient.SelfEff)
[Ceci démontre de mon évolution sur le plan mental notamment. Dans mon assurance à répondre aux questions.] ; human(MotOrient.SelfEff) ; IA(MotOrient.Value)
[j'ai pas revu le cours] ; human(StratKldg) ; IA(DomKldg)
[Chapitres pas assez bien travaillés] ; human(StratKldg) ; IA(DomKldg)
[bcp d'erreurs dangereuses] ; human(MonCal.Facts.DC) ; IA(MonCal.Interpret)
