[Il y a eu beaucoup de réponse incorrecte et pas mal d'ignorance] ; human(MonCal.Facts.RF) ; IA(MonCal.Facts.DC)
[Pour le prochain test, il faudrait que je me laisse un peu plus de temps avant de répondre et bien analyser les docs.] ; human(CTRL) ; IA(StratKldg)
[Il y a un manque de rigueur car j'ai mal lu les énoncés et cela m'a induit en erreur et c'est pour cela que j'ai eu des réponses qui étaient erronées] ; human(StratKldg) ; IA(MonCal.Facts.DC)
[Pour le prochain test, je devrais approfondir les bases du cours (non-acquis) avec des exercices.] ; human(CTRL) ; IA(DomKldg)
[J'ai mal jugé mes réponses et surestimé mes compétences] ; human(MotOrient.SelfEff) ; IA(MonCal.Interpret)
[Ce test m'a permis de comprendre que je dois faire plus attention aux énoncés.] ; human(MotOrient.Value) ; IA(StratKldg)
[Relativement satisfait car peu d'erreurs et peu savoir fragile comme je le pensais lors du test. J'étais assez souvent très sûr de moi.] ; human(MonCal.Interpret) ; IA(MotOrient.SelfEff)
[Globalement, il y a plus de réponses savoir certain que d'erreur dangereuse ,] ; human(MonCal.Facts.DC) ; IA(MonCal.Facts.RF)
[e trouve que j'ai été trop rapide dans mes choix de réponse ainsi à l'avenir il me faudra être plus réfléchi. Aussi des petites révisions ne me feraient pas de mal.] ; human(StratKldg) ; IA(CTRL)
[Je pense que je peux m'améliorer en étant plus prudente et en faisant plus attention aux énoncés.] ; human(CTRL) ; IA(MonCal.Interpret)
[Je suis assez content du résultat, ça aurait pu être pire. Ce test provoque chez moi de l'anxiété] ; human(BDS.Emotions) ; IA(BDS.Emotions, StratKldg)
[Je dois mieux lire les énoncés et être plus attentif sur les réponses] ; human(StratKldg) ; IA(MonCal.Facts.RF)
[des connaissances certaines dans le domaine de la physique chimie] ; human(DomKldg) ; IA(MotOrient.SelfEff)
[Afin de devenir davantage réaliste lors du prochain test, il me faudra être plus technique dans mes connaissances en physique chimie.] ; human(CTRL) ; IA(MonCal.DomKldg)
[ce test ne m'apporte pas grand-chose, que quelques connaissances sur quelques détails précis] ; human(MotOrient.Value) ; IA(MonCal.Facts.DC)
[J'ai appris que je devrais me fier plus à mes connaissances qu'à la pertinence de la question] ; human(MotOrient.Value) ; IA(MonCal.Interpret)
[Pour m'améliorer davantage, il faut que je réponde plus spontanément car il y a des questions où j'ai trop hésité] ; human(CTRL) ; IA(StratKldg)
[21 réponses correctes, 5 ignorances et 6 réponses incorrectes] ; human(MonCal.Facts.RF) ; IA(MonCal.Facts.DC)
[La prochaine fois, je ferais attention aux tournures des phrases qui peuvent être dangereuses.] ; human(CTRL) ; IA(StratKldg)
[Courbe en J similaire pour les réponses correctes mais pas pour les incorrectes (moins exponentielle)] ; human(MonCal.Facts.DC) ; IA(MonCal.Interpret)
[Pour les réponses incorrectes, il y a bien une courbe en J, par contre pour les réponses incorrectes la courbe n'a pas cette forme.] ; human(MonCal.Facts.DC) ; IA(MonCal.Interpret)
[Il faudrait qu'au prochain test je sois plus sûr de moi pour avoir moins de savoir fragile et aussi avoir moins d'erreurs dangereuses.] ; human(CTRL) ; IA(MonCal.Interpret)
[Pour la prochaine je dois être plus prudente] ; human(CTRL) ; IA(MonCal.Interpret)
[il faut revoir certaines choses de mon cours] ; human(CTRL) ; IA(DomKldg)
[Pour les réponses correctes mes résultats correspondent à la courbe en J en général avec un pourcentage un peu trop élevé de savoir fragile.] ; human(MonCal.Facts.DC) ; IA(MonCal.Interpret)
[Je pourrais être plus réaliste en lisant mieux les questions.] ; human(StratKldg) ; IA(CTRL)
[Bon test permettant ainsi de connaitre la qualité des connaissances.] ; human(MotOrient.Value) ; IA(DomKldg)
[De bonnes connaissances dans certains domaines, comme de sérieuses lacunes dans d'autres.] ; human(DomKldg) ; IA(MonCal.Interpret)
[Lors du prochain test, il s'agira de se montrer moins sur à 100% sur des réponses, même pour les réponses où je suis sûr de moi] ; human(CTRL) ; IA(MonCal.Interpret)
[mon jugement n'est pas réaliste] ; human(MotOrient.SelfEff) ; IA(MonCal.Interpret)
[Certaines de ces erreurs sont dues à un manque de réflexion par rapport aux questions (ex: confondre semi-équation et équation de réaction)] ; human(StratKldg) ; IA(MonCal.Interpret)
[Il faut que je travaille mieux mes notions] ; human(StratKldg) ; IA(DomKldg)
[trois erreurs dangereuses (à80%) qui sont dues à une mauvaise lecture de l'énoncé et une confusion entre plusieurs éléments de la consigne] ; human(StratKldg) ; IA(MonCal.Interpret)
[Pour un meilleur résultat la fois prochaine, il faudrait ouvrir le livre de SPC notamment sur la mécanique] ; human(CTRL) ; IA(DomKldg)
[j'ai souvent répondu trop vite] ; human(StratKldg) ; IA(MotOrient.SelfEff)
[j'ai été beaucoup moins prudente que sur le dernier test, j'ai pris des risques] ; human(MonCal.Interpret) ; IA(StratKldg)
[Il faut encore que je me concentre davantage sur les énoncés, prendre le temps de bien lire surtout sur la mécanique] ; human(CTRL) ; IA(StratKldg)
[des confusions et des souvenirs erronés du à des réponses données basées non pas sur un cours appris mais sur des souvenirs de classes et des exercices faits.] ; human(StratKldg) ; IA(MonCal.Interpret)
[je n'ai pas bien relu mes chapitres] ; human(StratKldg) ; IA(DomKldg)
[je pense que le cours est moins maitrisé] ; human(StratKldg) ; IA(DomKldg)
[je n'ai pas pris le temps de bien comprendre les énoncés] ; human(StratKldg) ; IA(MonCal.Facts.RF)
[Incompréhension acide/base + titrage] ; human(DomKldg) ; IA(MonCal.Facts.RF)
[j'ai été plus réaliste] ; human(MotOrient.SelfEff) ; IA(MonCal.Interpret)
[mes connaissances pas encore assez solides.] ; human(StratKldg) ; IA(MonCal.Interpret)
[Ceci démontre de mon évolution sur le plan mental notamment. Dans mon assurance à répondre aux questions.] ; human(MotOrient.SelfEff) ; IA(MonCal.Interpret)
[mon problème réside dans ma précipitation] ; human(StratKldg) ; IA(DomKldg)
[j'ai pas revu le cours] ; human(StratKldg) ; IA(DomKldg)
[une confusion dans mes connaissances] ; human(DomKldg) ; IA(MonCal.Facts.DC)
[Chapitres pas assez bien travaillés] ; human(StratKldg) ; IA(DomKldg)
[mauvais apprentissage du cours] ; human(StratKldg) ; IA(DomKldg)
[bcp d'erreurs dangereuses] ; human(MonCal.Facts.DC) ; IA(MonCal.Interpret)
