[Cela révèle que je ne suis pas sûr de mes réponses] ; human(MotOrient.SelfEff) ; IA(MonCal.Interpret)
[Par rapport à la dernière fois j'ai fait moins d'erreurs d'inattention car j'ai bien vérifié même les questions que j'ai eu juste.] ; human(StratKldg) ; IA(MonCal.Facts.RF)
[Il y a aussi comme la dernière fois des erreurs d'inattention.] ; human(StratKldg) ; IA(MonCal.Facts.RF)
[je n'avais pas révisé presque la totalité de ce qu'il y avait] ; human(DomKldg) ; IA(MonCal.Interpret)
[je devrais peut-être être un peu plus prudent] ; human(MonCal.Interpret) ; IA(MonCal.SelfEff)
[j'ai plus de réponses correctes en chimie qu'en physique.] ; human(DomKldg) ; IA(MonCal.Facts.RF)
[ce test est très réaliste/ précis.] ; human(MotOrient.Value) ; IA(MonCal.Facts.RF)
[La plupart de mes mauvaises réponses sont dans la mécanique, car je n’ai pas appris, ni révisé cette partie avec la loi Kepler] ; human(DomKldg) ; IA(MonCal.Facts.DC)
[ce qui concerne les mauvaises réponses, c'est une mauvaise compréhension des questions] ; human(StratKldg) ; IA(MonCal.Facts.DC)
[j'ai essayé d'avoir confiance en moi.] ; human(MotOrient.SelfEff) ; IA(MonCal.SelfEff)
[je suis assez prudent] ; human(MonCal.Interpret) ; IA(MotOrient.SelfEff)
[Je n'avais pas révisé mes leçons] ; human(DomKldg) ; IA(MonCal.Facts.RF)
[D'après ma courbe, j'ai tendance à être à la fois trop prudente (avec 12 savoirs fragiles) et à la fois pas assez (7 erreurs dangereuses)] ; human(MonCal.Interpret) ; IA(MonCal.Facts.DC)
[Je pense qu'en essayant de relire mes leçons avant le test, je pourrais être plus sûre de mes réponses] ; human(StratKldg) ; IA(MonCal.Interpret)
[J'étais aussi peu attentive] ; human(StratKldg) ; IA(MonCal.Interpret)
[Les lois de Kepler sont à apprendre !] ; human(DomKldg) ; IA(MonCal.Facts.RF)
[la majorité de mes fautes n'étaient pas pressenties et mes réponses correctes étaient certaines] ; human(MonCal.Facts.DC) ; IA(MonCal.Facts.RF)
[J'ai essayé de passer à travers le test rapidement et en ai payé le prix.] ; human(StratKldg) ; IA(MonCal.Facts.RF)
[Cela me permet de savoir ce que je dois réviser et mes points faibles.] ; human(MotOrient.Value) ; IA(MonCal.Facts.DC)
[le plus grave ? les erreurs dangereuses que j'ai fait.] ; human(MonCal.Interpret) ; IA(MonCal.Facts.DC)
[La mécanique est un thème difficile et je suis dans l'ensemble trop sûre de moi en mécanique.] ; human(MotOrient.SelfEff) ; IA(MonCal.Interpret)
[Ce test m'a permis de réaliser que mes connaissances sont moins solides que ce que j'espérais] ; human(MotOrient.Value) ; IA(MonCal.Facts.DC)
[c'est bien de voir que la plupart du temps je suis certaine quand j'ai raison] ; human(MonCal.Interpret) ; IA(MotOrient.SelfEff)
[je ne suis pas du tout sûr de ce que je réponds en chimie] ; human(MotOrient.SelfEff) ; IA(MonCal.Interpret)
[beaucoup d'erreurs dangereuses (10)] ; human(MonCal.Facts.DC) ; IA(StratKldg)
[La courbe en J des réponses correctes montre qu'en général, je sais quand j'ai la bonne réponse. Cependant je ne sais pas forcément quand j'ai la mauvaise réponse, la courbe en J des réponses incorrectes m'indiquant beaucoup d'erreurs dangereuses et ne suivant pas la forme du J. Cela relève d'une certaine imprudence.] ; human(MonCal.Interpret) ; IA(MonCal.Facts.DC)
[Pour espérer devenir davantage réaliste lors du prochain test, je pourrais me fier davantage à mes réelles connaissances plutôt qu'à mes estimations sur quelle réponse pourrait être la bonne, si une question semble une question piège,] ; human(CTRL) ; IA(MonCal.Interpret)
[Il faut que je révise la chimie, car mes connaissances sont floues et donc la certitude de mes réponses est affectée.] ; human(DomKldg) ; IA(MonCal.Facts.DC)
[Il faut que je regarde les questions de plus près car la formulation peut être trompeuse à certains moments.] ; human(StratKldg) ; IA(MonCal.Interpret)
[trop prudent] ; human(MonCal.Interpret) ; IA(MotOrient.SelfEff)
[Globalement, j'ai réussi à être plus certaine de mes réponses (22 savoirs certains et 1 savoir fragile) mais ça a créé de ce fait quelques erreurs dangereuses (7). Par rapport au premier test, je peux remarquer que la courbe en J est plus conséquente pour les réponses correctes] ; human(MonCal.Facts.DC) ; IA(MonCal.Facts.RF)
[Pour le prochain test, il faudrait que je me laisse un peu plus de temps avant de répondre et bien analyser les docs.] ; human(CTRL) ; IA(StratKldg)
[Il y a un manque de rigueur car j'ai mal lu les énoncés et cela m'a induit en erreur et c'est pour cela que j'ai eu des réponses qui étaient erronées] ; human(StratKldg) ; IA(MonCal.Facts.RF)
[5 : erreurs dangereuses, 6 erreurs présumées, 11 savoirs fragiles, 10 savoir certains :] ; human(MonCal.Facts.DC) ; IA(MotOrient.SelfEff)
[C'est un peu meilleur que le premier test mais c'est parce que les questions étaient sur des chapitres vus en Terminale tandis que le premier test était sur des chapitres vus en Première.] ; human(DomKldg) ; IA(MonCal.Facts.RF)
[On peut dire que j'ai eu ce score car je ne révise jamais sauf la veille ou le jour même d'un contrôle, j'aurais sûrement un meilleur score en révisant régulièrement] ; human(StratKldg) ; IA(MonCal.Interpret)
[Pour le prochain test, je devrais approfondir les bases du cours (non-acquis) avec des exercices.] ; human(CTRL) ; IA(DomKldg)
[J'ai mal jugé mes réponses et surestimé mes compétences] ; human(MotOrient.SelfEff) ; IA(MonCal.Interpret)
[Ce test m'a permis de comprendre que je dois faire plus attention aux énoncés.] ; human(MotOrient.Value) ; IA(MonCal.Interpret)
[Relativement satisfait car peu d'erreurs et peu savoir fragile comme je le pensais lors du test. J'étais assez souvent très sûr de moi.] ; human(MonCal.Interpret) ; IA(MonCal.Facts.RF)
[Globalement, il y a plus de réponses savoir certain que d'erreur dangereuse ,] ; human(MonCal.Facts.DC) ; IA(MonCal.Facts.RF)
[e trouve que j'ai été trop rapide dans mes choix de réponse ainsi à l'avenir il me faudra être plus réfléchi. Aussi des petites révisions ne me feraient pas de mal.] ; human(StratKldg) ; IA(MonCal.SelfEff)
[Je pense que je peux m'améliorer en étant plus prudente et en faisant plus attention aux énoncés.] ; human(CTRL) ; IA(MonCal.Interpret)
[Cela Vient en parti du fait que je ne connaissais pas les formules du cours et d'interprétations fausses des documents] ; human(DomKldg) ; IA(MonCal.Interpret)
[Les courbes ne sont pas en J (légèrement pour les bonnes réponses, mais pas du tout sur les mauvaises)] ; human(MonCal.Facts.DC) ; IA(MonCal.Facts.RF)
[J'ai plutôt assez bien réussi le test, mieux que le premier il me semble] ; human(MonCal.Interpret) ; IA(MonCal.Facts.RF)
[Mon savoir est là, mais cependant je fais encore trop d'erreurs d'inattention sur des choses bêtes. Il faut que je me concentre tout le long pour répondre à toutes les questions.] ; human(StratKldg) ; IA(MonCal.Interpret)
[Globalement, il y a beaucoup de réponses certaines mais aussi beaucoup d'erreurs dangereuses.] ; human(MonCal.Facts.DC) ; IA(MonCal.Facts.RF)
[Je dois mieux lire les énoncés et être plus attentif sur les réponses] ; human(StratKldg) ; IA(MonCal.Interpret)
[Pour m'améliorer, je pourrais donc prendre plus de temps pour répondre et assimiler les énoncés.] ; human(CTRL) ; IA(MonCal.Interpret)
[mes 7 erreurs dangereuses peuvent relever une certaine imprudence] ; human(MonCal.Interpret) ; IA(MonCal.Facts.DC)
[Afin de devenir davantage réaliste lors du prochain test, il me faudra être plus technique dans mes connaissances en physique chimie.] ; human(CTRL) ; IA(MonCal.Interpret)
[Les courbes en J assez respecté, malgré un léger surplus de savoir fragile (70%)] ; human(MonCal.Facts.DC) ; IA(DomKldg)
[je pense être plutôt réaliste et ne pas avoir besoin de devenir beaucoup plus réaliste] ; human(MotOrient.SelfEff) ; IA(MonCal.Interpret)
[Je devrais être plus attentif sur les questions.] ; human(StratKldg) ; IA(MonCal.Facts.RF)
[J'ai appris que je devrais me fier plus à mes connaissances qu'à la pertinence de la question] ; human(MotOrient.Value) ; IA(MonCal.Interpret)
[un savoir certain , 4 savoir fragile , pour les erreurs, 5 erreur dangereuse et 7 erreur présumée] ; human(MonCal.Facts.DC) ; IA(MonCal.Facts.DC\;4\;MonCal.Facts.DC\;1\;BDS.Emotions\;5\;DomKldg\;7\;StratKldg\;4\;CTRL\;6)
[Je repère beaucoup de prudence car je peux présumer mes erreurs éventuel , ce qui me permet d'avoir peut d'erreur dangereuse.] ; human(MonCal.Interpret) ; IA(MonCal.Facts.DC)
[Pour m'améliorer davantage, il faut que je réponde plus spontanément car il y a des questions où j'ai trop hésité] ; human(CTRL) ; IA(MotOrient.SelfEff)
[Ces erreurs dangereuses sont dues à un manque de connaissances.] ; human(MonCal.Interpret) ; IA(MonCal.Facts.DC)
[La prochaine fois, je ferais attention aux tournures des phrases qui peuvent être dangereuses.] ; human(CTRL) ; IA(MonCal.Facts.DC)
[Courbe en J similaire pour les réponses correctes mais pas pour les incorrectes (moins exponentielle)] ; human(MonCal.Facts.DC) ; IA(MonCal.Facts.RF)
[Plutôt des erreurs d'inattention que du manque de réalisme.] ; human(StratKldg) ; IA(MonCal.Facts.RF)
[Pour les réponses incorrectes, il y a bien une courbe en J, par contre pour les réponses incorrectes la courbe n'a pas cette forme.] ; human(MonCal.Facts.DC) ; IA(MonCal.Facts.RF)
[Il y a pas mal de savoir fragile ce qui montre de la prudence.] ; human(MonCal.Interpret) ; IA(MonCal.Facts.DC)
[Pour le prochain test il faudrait que je fasse preuve de plus de certitude.] ; human(CTRL) ; IA(MotOrient.SelfEff)
[quelques difficultés en chimie.] ; human(DomKldg) ; IA(MonCal.Facts.DC)
[Il faudrait qu'au prochain test je sois plus sûr de moi pour avoir moins de savoir fragile et aussi avoir moins d'erreurs dangereuses.] ; human(CTRL) ; IA(MonCal.SelfEff)
[imprudence] ; human(MonCal.Interpret) ; IA(StratKldg)
[Mes courbes sont loin de celle en J] ; human(MonCal.Facts.DC) ; IA(MonCal.Interpret)
[je suis mi prudente/ mi imprudente.] ; human(MonCal.Interpret) ; IA(StratKldg)
[Lors du prochain test, il faudrait que je prenne plus de temps sur les questions pour réellement réfléchir parce que là j'avais un peu la flemme de réfléchir à 100%. Et passer plus de temps sur les questions où je pense être certaine.] ; human(CTRL) ; IA(MonCal.Interpret)
[il faut revoir certaines choses de mon cours] ; human(CTRL) ; IA(MonCal.Facts.RF)
[On peut penser à une imprudence car mes résultats se trouvent dans les extrêmes.] ; human(MonCal.Interpret) ; IA(MonCal.Facts.RF)
[Afin d'être plus réaliste lors du prochain test, une meilleure connaissance de son cours serait préférable] ; human(CTRL) ; IA(MonCal.Interpret)
[Pour les réponses correctes mes résultats correspondent à la courbe en J en général avec un pourcentage un peu trop élevé de savoir fragile.] ; human(MonCal.Facts.DC) ; IA(MonCal.Facts.RF)
[Pour devenir davantage réaliste je devrais réfléchir plus longtemps sur certaines questions et faire attention aux pièges.] ; human(CTRL) ; IA(MonCal.Interpret)
[J'ai eu tout juste en physique, mais j'ai plus de mal en chimie car c'est moins concret. Les formules sont dures à comprendre donc à apprendre. De plus, mes erreurs dangereuses en chimie montrent que je n'ai pas tout compris.] ; human(DomKldg) ; IA(MonCal.Facts.DC)
[Ce score global (par rapport aux erreurs dangereuses) est peut-être dût à de la précipitation] ; human(StratKldg) ; IA(MonCal.Facts.DC)
[La courbe en J au niveau des réponses incorrectes n'est pas bonne] ; human(MonCal.Facts.DC) ; IA(MonCal.Facts.RF)
[il y a trop d’assurance pour des réponses qui sont fausses] ; human(MotOrient.SelfEff) ; IA(MonCal.Facts.RF)
[Je pourrais être plus réaliste en lisant mieux les questions.] ; human(StratKldg) ; IA(MonCal.Interpret)
[Bon test permettant ainsi de connaitre la qualité des connaissances.] ; human(MotOrient.Value) ; IA(MonCal.Facts.RF)
[De bonnes connaissances dans certains domaines, comme de sérieuses lacunes dans d'autres.] ; human(DomKldg) ; IA(MonCal.Facts.DC)
[Les erreurs dangereuses viennent du fait que je lis parfois trop vite et de ce fait j'oublie des informations] ; human(StratKldg) ; IA(MonCal.Facts.DC)
[Je suis allée beaucoup trop vite sur certaines questions] ; human(StratKldg) ; IA(MonCal.Facts.RF)
[Pour les réponses incorrectes, mes résultats vont en descendant en fonction du degré de certitude mais les réponses correctes suivent la courbe en J] ; human(MonCal.Facts.DC) ; IA(MonCal.Interpret)
[Lors du prochain test, il s'agira de se montrer moins sur à 100% sur des réponses, même pour les réponses où je suis sûr de moi] ; human(CTRL) ; IA(MotOrient.SelfEff)
[mon jugement n'est pas réaliste] ; human(MotOrient.SelfEff) ; IA(MonCal.Interpret)
[Je suis donc trop imprudent.] ; human(MonCal.Interpret) ; IA(CTRL)
[Certaines de ces erreurs sont dues à un manque de réflexion par rapport aux questions (ex: confondre semi-équation et équation de réaction)] ; human(StratKldg) ; IA(MonCal.Facts.DC)
[Il faut que je travaille mieux mes notions] ; human(StratKldg) ; IA(DomKldg)
[L'objectif est donc une attention plus marquée dans la lecture des questions] ; human(StratKldg) ; IA(MonCal.Facts.RF)
[Le cours doit être relu et mieux compris. Bonne compréhension pour la réaction d'oxydation, la diffraction et les lois de Newton.] ; human(DomKldg) ; IA(MonCal.Facts.RF)
[trois erreurs dangereuses (à80%) qui sont dues à une mauvaise lecture de l'énoncé et une confusion entre plusieurs éléments de la consigne] ; human(StratKldg) ; IA(MonCal.Facts.DC)
[ce qui témoigne d'une bonne connaissance d'une partie du programme et une connaissance partielle d'une autre partie du programme] ; human(DomKldg) ; IA(MonCal.Interpret)
[Pour un meilleur résultat la fois prochaine, il faudrait ouvrir le livre de SPC notamment sur la mécanique] ; human(CTRL) ; IA(MonCal.Facts.DC)
[j'ai souvent répondu trop vite] ; human(StratKldg) ; IA(MonCal.Facts.RF)
[Pour la prochaine fois, essayer de prendre plus de temps dans la lecture de certaines questions] ; human(CTRL) ; IA(StratKldg)
[Il faut encore que je me concentre davantage sur les énoncés, prendre le temps de bien lire surtout sur la mécanique] ; human(CTRL) ; IA(BDS.Emotions)
[9 savoir certain 4 fragile 4 erreurs présumées et 3 dangereuses.] ; human(MonCal.Facts.DC) ; IA(StratKldg)
[des confusions et des souvenirs erronés du à des réponses données basées non pas sur un cours appris mais sur des souvenirs de classes et des exercices faits.] ; human(StratKldg) ; IA(MonCal.Interpret)
[mes erreurs viennent majoritairement du fait que je ne comprends absolument pas le chapitre de chimie sur lequel nous avons eu des questions (solution titrante/titrée, ph, pka)] ; human(DomKldg) ; IA(MonCal.Facts.DC)
[j'ai échangé 2 valeurs dans une formule que je n'ai pas trop comprise] ; human(DomKldg) ; IA(MotOrient.Value)
[je n'ai pas bien relu mes chapitres] ; human(StratKldg) ; IA(MonCal.Facts.DC)
[j’ai des fois mal lu les consignes] ; human(StratKldg) ; IA(MonCal.Facts.RF)
[J’aurais mieux réussis si j’avais pu poser les questions à l'écrit sur une feuille et si j'avais pour prendre mon temps en recontextualisant les questions qui ont déjà été vues en classes ou évaluation.] ; human(StratKldg) ; IA(MonCal.Interpret)
[je pense que le cours est moins maitrisé] ; human(StratKldg) ; IA(MonCal.Interpret)
[je n'ai pas pris le temps de bien comprendre les énoncés] ; human(StratKldg) ; IA(MonCal.Interpret)
[J'ai quand même pu corriger le problème du premier test sur le fait que je n'avais pas confiance en moi] ; human(MotOrient.SelfEff) ; IA(MonCal.SelfEff)
[dans certaines questions je n’étais pas concentré sur le sujet] ; human(StratKldg) ; IA(MonCal.Interpret)
[Incompréhension acide/base + titrage] ; human(DomKldg) ; IA(MonCal.Facts.DC)
[j'ai été plus réaliste] ; human(MotOrient.SelfEff) ; IA(MonCal.Interpret)
[mes connaissances pas encore assez solides.] ; human(StratKldg) ; IA(DomKldg)
[Ceci démontre de mon évolution sur le plan mental notamment. Dans mon assurance à répondre aux questions.] ; human(MotOrient.SelfEff) ; IA(MonCal.Interpret)
[4 dangereuses et 5 présumées] ; human(MonCal.Facts.DC) ; IA(BDS.Facts.DC)
[J'ai répondu trop vite aux questions. je n'ai pas assez réfléchi à certaines questions.] ; human(StratKldg) ; IA(MonCal.Interpret)
[j'ai pas revu le cours] ; human(StratKldg) ; IA(DomKldg)
[je suis allé trop vite et du coup mauvaise lecture/compréhension] ; human(StratKldg) ; IA(MonCal.Facts.RF)
[un manque d'attention sur certains détails] ; human(StratKldg) ; IA(MonCal.Facts.RF)
[Des erreurs que je pouvait éviter souvent dû au manque de concentration] ; human(StratKldg) ; IA(MonCal.Facts.RF)
[il faut que je révise les formules de Kepler et revoir les charges électriques] ; human(DomKldg) ; IA(MonCal.Facts.RF)
[Chapitres pas assez bien travaillés] ; human(StratKldg) ; IA(MonCal.Facts.RF)
[bien relire les consignes] ; human(StratKldg) ; IA(MonCal.Facts.RF)
