[Il y a eu beaucoup de réponse incorrecte et pas mal d'ignorance] ; human(MonCal.Facts.RF) ; IA(MonCal.Facts.DC)
[e trouve que j'ai été trop rapide dans mes choix de réponse ainsi à l'avenir il me faudra être plus réfléchi. Aussi des petites révisions ne me feraient pas de mal.] ; human(StratKldg) ; IA(CTRL)
[Je pense que je peux m'améliorer en étant plus prudente et en faisant plus attention aux énoncés.] ; human(CTRL) ; IA(MonCal.Interpret)
[Cela Vient en parti du fait que je ne connaissais pas les formules du cours et d'interprétations fausses des documents] ; human(DomKldg) ; IA(DomKldg, StratKldg)
[23 réponses correctes, soit 71% de réponses justes et 9 incorrectes)] ; human(MonCal.Facts.RF) ; IA(MonCal.Interpret)
[des connaissances certaines dans le domaine de la physique chimie] ; human(DomKldg) ; IA(MotOrient.SelfEff)
[Afin de devenir davantage réaliste lors du prochain test, il me faudra être plus technique dans mes connaissances en physique chimie.] ; human(CTRL) ; IA(MonCal.Kldg)
[je pense être plutôt réaliste et ne pas avoir besoin de devenir beaucoup plus réaliste] ; human(MotOrient.SelfEff) ; IA(MonCal.SelfEff)
[ce test ne m'apporte pas grand-chose, que quelques connaissances sur quelques détails précis] ; human(MotOrient.Value) ; IA(MonCal.Facts.DC)
[J'ai appris que je devrais me fier plus à mes connaissances qu'à la pertinence de la question] ; human(MotOrient.Value) ; IA(MotOrient.SelfEff)
[Pour m'améliorer davantage, il faut que je réponde plus spontanément car il y a des questions où j'ai trop hésité] ; human(CTRL) ; IA(StratKldg)
[21 réponses correctes, 5 ignorances et 6 réponses incorrectes] ; human(MonCal.Facts.RF) ; IA(MonCal.Facts.DC)
[Ces erreurs dangereuses sont dues à un manque de connaissances.] ; human(MonCal.Interpret) ; IA(MonCal.Kldg  # DomKldg aurait aussi été possible en fonction du contexte)
[La prochaine fois, je ferais attention aux tournures des phrases qui peuvent être dangereuses.] ; human(CTRL) ; IA(StratKldg)
[Courbe en J similaire pour les réponses correctes mais pas pour les incorrectes (moins exponentielle)] ; human(MonCal.Facts.DC) ; IA(MonCal.Interpret)
[Pour le prochain test il faudrait que je fasse preuve de plus de certitude.] ; human(CTRL) ; IA(MonCal.Facts.RF)
[Il faudrait qu'au prochain test je sois plus sûr de moi pour avoir moins de savoir fragile et aussi avoir moins d'erreurs dangereuses.] ; human(CTRL) ; IA(MonCal.Interpret)
[La chimie est vraiment dure, mais la physique c'est bien] ; human(DomKldg) ; IA(MonCal.Interpret)
[Lors du prochain test, il faudrait que je prenne plus de temps sur les questions pour réellement réfléchir parce que là j'avais un peu la flemme de réfléchir à 100%. Et passer plus de temps sur les questions où je pense être certaine.] ; human(CTRL) ; IA(StratKldg)
[Pour la prochaine je dois être plus prudente] ; human(CTRL) ; IA(MonCal.Interpret)
[il faut revoir certaines choses de mon cours] ; human(CTRL) ; IA(StratKldg)
[23 savoir certain et pas d'erreur présumée et pas de savoir fragile] ; human(MonCal.Facts.DC) ; IA(MonCal.Facts.RF)
[Afin d'être plus réaliste lors du prochain test, une meilleure connaissance de son cours serait préférable] ; human(CTRL) ; IA(MonCal.Facts.DC)
[Pour les réponses correctes mes résultats correspondent à la courbe en J en général avec un pourcentage un peu trop élevé de savoir fragile.] ; human(MonCal.Facts.DC) ; IA(MonCal.Interpret)
[J'ai eu tout juste en physique, mais j'ai plus de mal en chimie car c'est moins concret. Les formules sont dures à comprendre donc à apprendre. De plus, mes erreurs dangereuses en chimie montrent que je n'ai pas tout compris.] ; human(DomKldg) ; IA(MonCal.Interpret)
[Ce score global (par rapport aux erreurs dangereuses) est peut-être dût à de la précipitation] ; human(StratKldg) ; IA(MonCal.Facts.RF)
[Je pourrais être plus réaliste en lisant mieux les questions.] ; human(StratKldg) ; IA(CTRL)
[Bon test permettant ainsi de connaitre la qualité des connaissances.] ; human(MotOrient.Value) ; IA(MonCal.Facts.RF)
[Lors du prochain test, il s'agira de se montrer moins sur à 100% sur des réponses, même pour les réponses où je suis sûr de moi] ; human(CTRL) ; IA(MonCal.Interpret)
[trois erreurs dangereuses (à80%) qui sont dues à une mauvaise lecture de l'énoncé et une confusion entre plusieurs éléments de la consigne] ; human(StratKldg) ; IA(MonCal.Interpret)
[Pour un meilleur résultat la fois prochaine, il faudrait ouvrir le livre de SPC notamment sur la mécanique] ; human(CTRL) ; IA(DomKldg)
[Pour la prochaine fois, essayer de prendre plus de temps dans la lecture de certaines questions] ; human(CTRL) ; IA(MonCal.StratKldg)
[j'ai été beaucoup moins prudente que sur le dernier test, j'ai pris des risques] ; human(MonCal.Interpret) ; IA(StratKldg)
[Il faut encore que je me concentre davantage sur les énoncés, prendre le temps de bien lire surtout sur la mécanique] ; human(CTRL) ; IA(StratKldg)
[je n'ai pas bien relu mes chapitres] ; human(StratKldg) ; IA(DomKldg)
[je pense que le cours est moins maitrisé] ; human(StratKldg) ; IA(DomKldg)
[je n'ai pas pris le temps de bien comprendre les énoncés] ; human(StratKldg) ; IA(MonCal.Facts.RF)
[Incompréhension acide/base + titrage] ; human(DomKldg) ; IA(MonCal.Facts.RF)
[j'ai été plus réaliste] ; human(MotOrient.SelfEff) ; IA(MonCal.Interpret)
[mes connaissances pas encore assez solides.] ; human(StratKldg) ; IA(MonCal.Interpret)
[mon problème réside dans ma précipitation] ; human(StratKldg) ; IA(MonCal.Interpret)
[j'ai pas revu le cours] ; human(StratKldg) ; IA(DomKldg)
[Chapitres pas assez bien travaillés] ; human(StratKldg) ; IA(DomKldg)
[mauvais apprentissage du cours] ; human(StratKldg) ; IA(DomKldg)
[bcp d'erreurs dangereuses] ; human(MonCal.Facts.DC) ; IA(MonCal.Interpret)
