[Cela révèle que je ne suis pas sûr de mes réponses] ; human(MotOrient.SelfEff) ; IA(MonCal.Interpret)
[c'est bien de voir que la plupart du temps je suis certaine quand j'ai raison] ; human(MonCal.Interpret) ; IA(MotOrient.SelfEff)
[je fais beaucoup d'erreurs dangereuses en chimie.] ; human(MonCal.Facts.DC) ; IA(DomKldg)
[On peut dire que j'ai eu ce score car je ne révise jamais sauf la veille ou le jour même d'un contrôle, j'aurais sûrement un meilleur score en révisant régulièrement] ; human(StratKldg) ; IA(CTRL)
[J'ai mal jugé mes réponses et surestimé mes compétences] ; human(MotOrient.SelfEff) ; IA(MonCal.Interpret)
[Ce test m'a permis de comprendre que je dois faire plus attention aux énoncés.] ; human(MotOrient.Value) ; IA(StratKldg)
[e trouve que j'ai été trop rapide dans mes choix de réponse ainsi à l'avenir il me faudra être plus réfléchi. Aussi des petites révisions ne me feraient pas de mal.] ; human(StratKldg) ; IA(CTRL)
[Je dois mieux lire les énoncés et être plus attentif sur les réponses] ; human(StratKldg) ; IA(CTRL)
[je pense être plutôt réaliste et ne pas avoir besoin de devenir beaucoup plus réaliste] ; human(MotOrient.SelfEff) ; IA(MonCal.Interpret)
[ce test ne m'apporte pas grand-chose, que quelques connaissances sur quelques détails précis] ; human(MotOrient.Value) ; IA(DomKldg)
[Je devrais être plus attentif sur les questions.] ; human(StratKldg) ; IA(CTRL)
[J'ai appris que je devrais me fier plus à mes connaissances qu'à la pertinence de la question] ; human(MotOrient.Value) ; IA(MotOrient.SelfEff)
[Ces erreurs dangereuses sont dues à un manque de connaissances.] ; human(MonCal.Interpret) ; IA(DomKldg)
[Plutôt des erreurs d'inattention que du manque de réalisme.] ; human(StratKldg) ; IA(MonCal.Interpret)
[il faut revoir certaines choses de mon cours] ; human(CTRL) ; IA(DomKldg)
[Ce score global (par rapport aux erreurs dangereuses) est peut-être dût à de la précipitation] ; human(StratKldg) ; IA(MonCal.Interpret)
[il y a trop d’assurance pour des réponses qui sont fausses] ; human(MotOrient.SelfEff) ; IA(MonCal.Interpret)
[Je pourrais être plus réaliste en lisant mieux les questions.] ; human(StratKldg) ; IA(CTRL)
[mon jugement n'est pas réaliste] ; human(MotOrient.SelfEff) ; IA(MonCal.Interpret)
[Il faut que je travaille mieux mes notions] ; human(StratKldg) ; IA(DomKldg)
[L'objectif est donc une attention plus marquée dans la lecture des questions] ; human(StratKldg) ; IA(CTRL)
[trois erreurs dangereuses (à80%) qui sont dues à une mauvaise lecture de l'énoncé et une confusion entre plusieurs éléments de la consigne] ; human(StratKldg) ; IA(MonCal.Interpret)
[Pour un meilleur résultat la fois prochaine, il faudrait ouvrir le livre de SPC notamment sur la mécanique] ; human(CTRL) ; IA(DomKldg)
[des confusions et des souvenirs erronés du à des réponses données basées non pas sur un cours appris mais sur des souvenirs de classes et des exercices faits.] ; human(StratKldg) ; IA(DomKldg)
[j'ai échangé 2 valeurs dans une formule que je n'ai pas trop comprise] ; human(DomKldg) ; IA(StratKldg)
[je n'ai pas bien relu mes chapitres] ; human(StratKldg) ; IA(DomKldg)
[je pense que le cours est moins maitrisé] ; human(StratKldg) ; IA(DomKldg)
[j'ai été plus réaliste] ; human(MotOrient.SelfEff) ; IA(MonCal.Interpret)
[mes connaissances pas encore assez solides.] ; human(StratKldg) ; IA(DomKldg)
[j'ai pas revu le cours] ; human(StratKldg) ; IA(DomKldg)
[il faut que je révise les formules de Kepler et revoir les charges électriques] ; human(DomKldg) ; IA(CTRL)
[Chapitres pas assez bien travaillés] ; human(StratKldg) ; IA(DomKldg)
[mauvais apprentissage du cours] ; human(StratKldg) ; IA(DomKldg)
[bcp d'erreurs dangereuses] ; human(MonCal.Facts.DC) ; IA(MonCal.Interpret)
